编号 No.,学校名称(中文) School Name (Chinese),学校名称(英文) School Name (English),区域(中文) District (Chinese),区域(英文) District (English)
227,中华基督教青年会葵涌幼稚园,CHINESE YMCA KWAI CHUNG KINDERGARTEN,葵青区,Kwai Tsing
228,卓思英文学校暨幼稚园（青怡分校）,CHOICE ENGLISH SCHOOL & KINDERGARTEN (TSING YI BRANCH),葵青区,Kwai Tsing
229,启思幼稚园（青衣）,CREATIVE KINDERGARTEN (TSING YI),葵青区,Kwai Tsing
230,基督教香港信义会天恩幼儿学校,ELCHK  GRACE NURSERY SCHOOL,葵青区,Kwai Tsing
231,基督教香港信义会灵工幼儿学校,ELCHK  LING KUNG NURSERY SCHOOL,葵青区,Kwai Tsing
232,富瑶幼稚园,FU YIU KINDERGARTEN,葵青区,Kwai Tsing
233,嘉言中英文幼稚园,GREENVILLE ANGLO-CHINESE KINDERGARTEN,葵青区,Kwai Tsing
234,协康会上海总会康苗幼稚园,HEEP HONG SOCIETY SHANGHAI FRATERNITY ASSOCIATION HEALTHY KIDS KINDERGARTEN,葵青区,Kwai Tsing
235,香港圣公会麦理浩夫人中心〈石荫〉幼稚园,HONG KONG SHENG KUNG HUI LADY MACLEHOSE CENTRE (SHEK YAM) KINDERGARTEN,葵青区,Kwai Tsing
236,香港圣公会麦理浩夫人中心幼稚园,HONG KONG SHENG KUNG HUI LADY MACLEHOSE CENTRE KINDERGARTEN,葵青区,Kwai Tsing
237,香港圣公会圣尼哥拉幼儿学校,HONG KONG SHENG KUNG HUI ST NICHOLAS' NURSERY SCHOOL,葵青区,Kwai Tsing
238,香港圣公会基督显现堂幼稚园,HONG KONG SHENG KUNG HUI THE CHURCH OF THE EPIPHANY KINDERGARTEN,葵青区,Kwai Tsing
239,香港基督教女青年会长青幼儿学校,HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION CHEUNG CHING NURSERY SCHOOL,葵青区,Kwai Tsing
240,伊斯兰博爱幼稚园,ISLAMIC POK OI KINDERGARTEN,葵青区,Kwai Tsing
241,葵涌浸信会幼稚园,KWAI CHUNG BAPTIST CHURCH KINDERGARTEN,葵青区,Kwai Tsing
242,葵盛礼贤会幼稚园,KWAI SHING RHENISH CHURCH KINDERGARTEN,葵青区,Kwai Tsing
243,礼贤会荔景幼儿园,LAI KING RHENISH NURSERY,葵青区,Kwai Tsing
244,乐景幼稚园,LOK KING KINDERGARTEN,葵青区,Kwai Tsing
245,路德会青衣城幼儿园,MARITIME SQUARE LUTHERAN DAY NURSERY,葵青区,Kwai Tsing
246,新界妇孺福利会长发幼儿学校,NEW TERRITORIES WOMEN & JUVENILES WELFARE ASSOCIATION LIMITED CHEUNG FAT NURSERY SCHOOL,葵青区,Kwai Tsing
247,平安福音堂幼稚园（青衣）,PEACE EVANGELICAL CENTRE KINDERGARTEN (TSING YI),葵青区,Kwai Tsing
248,保良局张心瑜幼稚园,PO LEUNG KUK FIONA CHEUNG SUM YU KINDERGARTEN,葵青区,Kwai Tsing
249,保良局吕陈慧贞（葵芳）幼稚园,PO LEUNG KUK LUI CHAN WAI CHING (KWAI FONG) KINDERGARTEN,葵青区,Kwai Tsing
250,保良局李俊驹伉俪幼稚园,PO LEUNG KUK MR. & MRS. CHARLIE LEE KINDERGARTEN,葵青区,Kwai Tsing
251,保良局谭华正夫人幼稚园,PO LEUNG KUK MRS TAM WAH CHING KINDERGARTEN,葵青区,Kwai Tsing
252,保良局曹金霖夫人幼稚园,PO LEUNG KUK MRS. CHAO KING LIN KINDERGARTEN,葵青区,Kwai Tsing
253,保良局田家炳幼稚园,PO LEUNG KUK TIN KA PING KINDERGARTEN,葵青区,Kwai Tsing
254,路德会恩石幼稚园,ROCK OF AGES LUTHERAN KINDERGARTEN,葵青区,Kwai Tsing
255,圣公会圣基道幼儿园（葵涌）,S K H ST CHRISTOPHER'S NURSERY (KWAI CHUNG),葵青区,Kwai Tsing
256,圣公会荆冕堂葵涌幼稚园,S.K.H. CROWN OF THORNS CHURCH KWAI CHUNG KINDERGARTEN,葵青区,Kwai Tsing
257,圣公会荆冕堂士德幼稚园,S.K.H. CROWN OF THORNS CHURCH SADICK KINDERGARTEN,葵青区,Kwai Tsing
258,善正幼稚园,SIN CHING KINDERGARTEN,葵青区,Kwai Tsing
259,圣斯德望天主教幼稚园,ST. STEPHEN'S CATHOLIC KINDERGARTEN,葵青区,Kwai Tsing
260,天主教圣多默幼稚园,ST. THOMAS' CATHOLIC KINDERGARTEN,葵青区,Kwai Tsing
261,太阳岛英文幼稚园（葵兴分校）,SUN ISLAND ENGLISH KINDERGARTEN (KWAI HING BRANCH),葵青区,Kwai Tsing
262,太阳岛英文幼稚园（葵景分校）,SUN ISLAND ENGLISH KINDERGARTEN (KWAI KING BRANCH),葵青区,Kwai Tsing
263,崇基幼稚园,SUNG KEI KINDERGARTEN,葵青区,Kwai Tsing
264,中华基督教会全完幼稚园,THE CHURCH OF CHRIST IN CHINA CHUEN YUEN KINDERGARTEN,葵青区,Kwai Tsing
265,救世军富强幼稚园,THE SALVATION ARMY FU KEUNG KINDERGARTEN,葵青区,Kwai Tsing
266,救世军大窝口幼儿学校,THE SALVATION ARMY TAI WO HAU NURSERY SCHOOL,葵青区,Kwai Tsing
267,宏福中英文幼稚园,TIVOLI ANGLO-CHINESE KINDERGARTEN,葵青区,Kwai Tsing
268,宏福幼稚园,TIVOLI KINDERGARTEN,葵青区,Kwai Tsing
269,青衣商会幼稚园,TSING YI TRADE ASSOCIATION KINDERGARTEN,葵青区,Kwai Tsing
270,青衣商会石荫幼稚园,TSING YI TRADE ASSOCIATION SHEK YAM KINDERGARTEN,葵青区,Kwai Tsing
271,荃浸石篱幼稚园,TSUEN WAN BAPTIST CHURCH SHEK LEI KINDERGARTEN,葵青区,Kwai Tsing
272,荃湾商会朱昌幼稚园,TSUEN WAN TRADE ASSOCIATION CHU CHEONG KINDERGARTEN,葵青区,Kwai Tsing
273,荃湾商会钟来幼稚园,TSUEN WAN TRADE ASSOCIATION CHUNG LOI KINDERGARTEN,葵青区,Kwai Tsing
274,荃湾商会邱健峰幼稚园,TSUEN WAN TRADE ASSOCIATION YAU KIN FUNG KINDERGARTEN,葵青区,Kwai Tsing
275,东华三院王胡丽明幼稚园,TUNG WAH GROUP OF HOSPITALS WONG WU LAI MING KINDERGARTEN,葵青区,Kwai Tsing
276,东华三院香港炉峯狮子会幼儿园,TWGHS LIONS CLUB OF THE PEAK HONG KONG NURSERY SCHOOL,葵青区,Kwai Tsing
277,世佛会文殊幼儿学校,W.F.B. MANJUSRI NURSERY SCHOOL,葵青区,Kwai Tsing
278,仁济医院裘锦秋幼稚园,YAN CHAI HOSPITAL JU CHING CHU KINDERGARTEN,葵青区,Kwai Tsing
279,仁济医院董伯英幼稚园,YAN CHAI HOSPITAL TUNG PAK YING KINDERGARTEN,葵青区,Kwai Tsing
280,仁济医院九龙崇德社幼稚园,YAN CHAI HOSPITAL ZONTA CLUB OF KOWLOON KINDERGARTEN,葵青区,Kwai Tsing
281,仁爱堂彭鸿樟幼稚园,YAN OI TONG PANG HUNG CHEUNG KINDERGARTEN,葵青区,Kwai Tsing
282,比诺中英文幼稚园,BILOK ANGLO-CHINESE KINDERGARTEN,北区,North
283,佛教沈东福幼稚园,BUDDHIST SUM TUNG FOOK KINDERGARTEN,北区,North
284,嘉宝中英文幼稚园（粉岭）,CARBO ANGLO-CHINESE KINDERGARTEN (FANLING),北区,North
285,明爱打鼓岭幼儿学校,CARITAS NURSERY SCHOOL - TA KWU LING,北区,North
286,明爱香港崇德社幼儿学校,CARITAS ZONTA  CLUB OF HONG KONG NURSERY SCHOOL,北区,North
287,神召会华人同工联会景盛幼稚园,"CHINESE CHRISTIAN WORKER'S FELLOWSHIP LIMITED, KING SHING KINDERGARTEN",北区,North
288,神召会华人同工联会彩蒲幼稚园,CHINESE CHRISTIAN WORKER'S FELLOWSHIP LTD. CHOI PO KINDERGARTEN,北区,North
289,中华基督教青年会上水幼稚园,CHINESE Y.M.C.A. SHEUNG SHUI KINDERGARTEN,北区,North
290,牵晴间培元英文幼稚园,DAWNING VIEWS ELEMENTI ENGLISH KINDERGARTEN,北区,North
291,基督教粉岭神召会恩光幼稚园,FANLING ASSEMBLY OF GOD CHURCH GRACE LIGHT KINDERGARTEN,北区,North
292,粉岭浸信会吕明才幼稚园,FANLING BAPTIST CHURCH LUI MING CHOI KINDERGARTEN,北区,North
293,凤溪幼稚园,FUNG KAI KINDERGARTEN,北区,North
294,耀基创艺幼稚园,GLORIA CREATIVE KINDERGARTEN,北区,North
295,耀基创艺幼稚园（上水）,GLORIA CREATIVE KINDERGARTEN (SHEUNG SHUI),北区,North
296,香海正觉莲社佛教慧光嘉福幼稚园,HHCKLA BUDDHIST WAI KWONG KA FUK KINDERGARTEN,北区,North
297,香海正觉莲社佛教慧光幼稚园,HHCKLA BUDDHIST WAI KWONG KINDERGARTEN,北区,North
298,香港宣教会优质幼儿学校,HKEC ELITE KINDERGARTEN,北区,North
299,香港五常法幼稚园,HONG KONG 5-S KINDERGARTEN,北区,North
300,香港保护儿童会圣诞老人爱心粉岭幼儿学校,HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN OPERATION SANTA CLAUS FANLING NURSERY SCHOOL,北区,North
301,"香港道教联合会蓬瀛通善皇后山幼稚园
（粉岭皇后山邨校址）","HONG KONG TAOIST ASSOCIATION FUNG YING TUNG SIN QUEEN'S HILL KINDERGARTEN 
(LOCATION: QUEEN'S HILL ESTATE, NORTH DISTRICT)",北区,North
302,嘉福浸信会幼儿园,KA FUK BAPTIST CHURCH PRE-SCHOOL,北区,North
303,金钱村何东幼稚园,KAM TSIN VILLAGE HO TUNG KINDERGARTEN,北区,North
304,九龙城浸信会嘉福幼稚园,KOWLOON CITY BAPTIST CHURCH KA FUK KINDERGARTEN,北区,North
305,新界妇孺福利会粉岭幼儿学校,NEW TERRITORIES WOMEN & JUVENILES WELFARE ASSOCIATION LIMITED FANLING NURSERY SCHOOL,北区,North
306,新界妇孺福利会上水幼儿学校,NEW TERRITORIES WOMEN & JUVENILES WELFARE ASSOCIATION LIMITED SHEUNG SHUI NURSERY SCHOOL,北区,North
307,保良局庄启程夫人幼稚园,PO LEUNG KUK MRS. VICWOOD K.T. CHONG KINDERGARTEN,北区,North
308,保良局叶吴彬彬皇后山幼稚园,PO LEUNG KUK YIP NG BUN BUN QUEEN'S HILL KINDERGARTEN,北区,North
309,上水堂幼稚园,SHEUNG SHUI CHURCH KINDERGARTEN,北区,North
310,上水礼贤会幼稚园,SHEUNG SHUI RHENISH CHURCH KINDERGARTEN,北区,North
311,上水惠州幼稚园（分校）,SHEUNG SHUI WAI CHOW KINDERGARTEN (BRANCH),北区,North
312,太平幼稚园,TAI PING KINDERGARTEN,北区,North
313,基督徒信望爱堂华明幼稚园,THE CHRISTIAN THE FAITH HOPE LOVE CHURCH WAH MING KINDERGARTEN,北区,North
314,"基督教香港信义会祥华幼稚园
（祥丰楼校址）","THE EVANGELICAL LUTHERAN CHURCH OF HONG KONG CHEUNG WAH KINDERGARTEN 
(LOCATION: CHEUNG FUNG HOUSE)",北区,North
315,"基督教香港信义会祥华幼稚园
（祥裕楼校址）","THE EVANGELICAL LUTHERAN CHURCH OF HONG KONG CHEUNG WAH KINDERGARTEN 
(LOCATION: CHEUNG YUE HOUSE)",北区,North
316,粉岭神召会幼稚园,THE FANLING ASSEMBLIES OF GOD KINDERGARTEN,北区,North
317,邻舍辅导会粉岭幼儿园,THE NEIGHBOURHOOD ADVICE-ACTION COUNCIL FANLING DAY NURSERY,北区,North
318,救世军天平幼儿学校,THE SALVATION ARMY TIN PING NURSERY SCHOOL,北区,North
319,真理浸信会何袁惠琼幼稚园,TRUTH BAPTIST CHURCH HO YUEN WAI KING KINDERGARTEN,北区,North
320,"东华三院方树福堂幼稚园
（粉岭皇后山邨校址）","TUNG WAH GROUP OF HOSPITALS FONG SHU FOOK TONG KINDERGARTEN (LOCATION: QUEENS HILL ESTATE, FANLING)",北区,North
321,东华三院徐展堂幼稚园,TUNG WAH GROUP OF HOSPITALS TSUI TSIN TONG KINDERGARTEN,北区,North
322,东华三院洪王家琪幼儿园,TWGHS  HUNG WONG KAR GEE NURSERY SCHOOL,北区,North
323,仁济医院永隆幼稚园,YAN CHAI HOSPITAL WING LUNG KINDERGARTEN,北区,North
324,比华利中英文幼稚园,BEVERLY ANGLO-CHINESE KINDERGARTEN,西贡区,Sai Kung
325,明爱翠林幼儿学校,CARITAS NURSERY SCHOOL - TSUI LAM,西贡区,Sai Kung
326,基督教宣道会香港区联会将军澳宣道幼稚园,CHRISTIAN & MISSIONARY ALLIANCE CHURCH UNION TSEUNG KWAN O ALLIANCE KINDERGARTEN,西贡区,Sai Kung
327,基督教宣道会茵怡幼稚园,CHRISTIAN AND MISSIONARY ALLIANCE CHURCH VERBENA KINDERGARTEN,西贡区,Sai Kung
328,基督教香港信义会健明幼儿学校,ELCHK  KIN MING NURSERY SCHOOL,西贡区,Sai Kung
329,基督教香港信义会将军澳幼稚园,ELCHK TSEUNG KWAN O KINDERGARTEN,西贡区,Sai Kung
330,中国基督教播道会厚恩堂厚恩幼儿学校,EVANGELICAL FREE CHURCH OF CHINA - ABUNDANT GRACE CHURCH ABUNDANT GRACE NURSERY SCHOOL,西贡区,Sai Kung
331,中国基督教播道会茵怡幼儿学校,EVANGELICAL FREE CHURCH OF CHINA - VERBENA NURSERY SCHOOL,西贡区,Sai Kung
332,欢乐创意幼稚园,FUN CREATIVE KINDERGARTEN,西贡区,Sai Kung
333,啬色园主办可正幼稚园,HO CHING KINDERGARTEN (SPONSORED BY SIK SIK YUEN),西贡区,Sai Kung
334,香港圣公会圣西门西贡幼儿学校,HONG KONG SHENG KUNG HUI ST SIMON'S SAI KUNG NURSERY SCHOOL,西贡区,Sai Kung
335,香港保护儿童会维景湾幼儿学校,HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN OCEAN SHORES NURSERY SCHOOL,西贡区,Sai Kung
336,香港保护儿童会施吴淑敏幼儿学校,HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN SZE WU SHU MIN NURSERY SCHOOL,西贡区,Sai Kung
337,将军澳英皇幼稚园,JUNK BAY KINGSLAND KINDERGARTEN,西贡区,Sai Kung
338,路德会景林幼儿园,KING LAM LUTHERAN DAY NURSERY,西贡区,Sai Kung
339,观塘浸信会彩明幼稚园,KWUN TONG BAPTIST CHURCH CHOI MING KINDERGARTEN,西贡区,Sai Kung
340,基督教乐道幼稚园,LOCK TAO CHRISTIAN KINDERGARTEN,西贡区,Sai Kung
341,竹园区神召会梁省德中英文幼稚园,PENTECOSTAL CHURCH OF HONG KONG LEUNG SING TAK ANGLO-CHINESE KINDERGARTEN,西贡区,Sai Kung
342,竹园区神召会将军澳康乐幼儿学校,PENTECOSTAL CHURCH OF HONG KONG TSEUNG KWAN O NURSERY SCHOOL,西贡区,Sai Kung
343,保良局蔡继有幼稚园,PO LEUNG KUK CHOI KAI YAU KINDERGARTEN,西贡区,Sai Kung
344,保良局方王换娣幼稚园,PO LEUNG KUK FONG WONG WOON TAI KINDERGARTEN,西贡区,Sai Kung
345,保良局叶吴彬彬幼稚园,PO LEUNG KUK YIP NG BUN BUN KINDERGARTEN,西贡区,Sai Kung
346,西贡乐育幼稚园,SAI KUNG LOK-YUK KINDERGARTEN,西贡区,Sai Kung
347,天主教圣安德肋幼稚园,ST ANDREW'S CATHOLIC KINDERGARTEN,西贡区,Sai Kung
348,香港神托会培恩幼稚园,STEWARDS POOI YAN KINDERGARTEN,西贡区,Sai Kung
349,太阳岛英文幼稚园（西贡分校）,SUN ISLAND ENGLISH KINDERGARTEN (SAI KUNG BRANCH),西贡区,Sai Kung
350,香港浸信会联会香港西北扶轮社幼稚园,THE BAPTIST CONVENTION OF HONG KONG ROTARY CLUB OF HONG KONG NORTHWEST KINDERGARTEN,西贡区,Sai Kung
351,香港小童群益会乐致幼稚园（将军澳）,THE BOYS' AND GIRLS' CLUBS ASSOCIATION OF HONG KONG CHEERLAND KINDERGARTEN (TSEUNG KWAN O),西贡区,Sai Kung
352,中华基督教会香港志道堂基博幼稚园（将军澳）,"THE CHURCH OF CHRIST IN CHINA, HONG KONG CHI TO CHURCH KEI POK KINDERGARTEN (TSEUNG KWAN O)",西贡区,Sai Kung
353,香港华人基督会煜明幼稚园,THE HONG KONG CHINESE CHURCH OF CHRIST THE LIGHT KINDERGARTEN,西贡区,Sai Kung
354,基督教圣约教会司务道幼稚园,THE MISSION COVENANT CHURCH SISTER ANNIE'S KINDERGARTEN,西贡区,Sai Kung
355,救世军庆恩幼稚园,THE SALVATION ARMY HING YAN KINDERGARTEN,西贡区,Sai Kung
356,救世军明德幼儿学校,THE SALVATION ARMY MING TAK NURSERY SCHOOL,西贡区,Sai Kung
357,将军澳循道卫理幼稚园,TSEUNG KWAN O METHODIST KINDERGARTEN,西贡区,Sai Kung
358,青衣商会将军澳幼稚园,TSING YI TRADE ASSOCIATION TSEUNG KWAN O KINDERGARTEN,西贡区,Sai Kung
359,翠林邨浸信会幼稚园,TSUI LAM ESTATE BAPTIST KINDERGARTEN,西贡区,Sai Kung
360,崇真会美善幼稚园,TSUNG TSIN MISSION GRACEFUL KINDERGARTEN,西贡区,Sai Kung
361,东华三院力勤幼稚园,TUNG WAH GROUP OF HOSPITALS NICKON KINDERGARTEN,西贡区,Sai Kung
362,东华三院香港华都狮子会幼稚园,TWGHS LIONS CLUB OF METROPOLITAN HONG KONG KINDERGARTEN,西贡区,Sai Kung
363,仁爱堂邓杨咏曼幼稚园,YAN OI TONG DAN YANG WING MAN KINDERGARTEN,西贡区,Sai Kung
364,香港仔浸信会白光幼稚园,ABERDEEN BAPTIST CHURCH PAK KWONG KINDERGARTEN,南区,Southern
365,迦南幼稚园（香港）,CANNAN KINDERGARTEN (HONG KONG),南区,Southern
366,基督教宣道会利东幼儿学校,CHRISTIAN & MISSIONARY ALLIANCE LEI TUNG NURSERY SCHOOL,南区,Southern
367,基督教宣道会海怡幼儿学校,CHRISTIAN & MISSIONARY ALLIANCE SOUTH HORIZONS NURSERY SCHOOL,南区,Southern
368,启思幼稚园（深湾轩）,CREATIVE KINDERGARTEN (SHAM WAN TOWERS),南区,Southern
369,啬色园主办可仁幼稚园,HO YAN KINDERGARTEN (SPONSORED BY SIK SIK YUEN),南区,Southern
370,路德会利东幼儿园,LEI TUNG LUTHERAN DAY NURSERY,南区,Southern
371,保良局庄启程夫人（华贵）幼稚园,PO LEUNG KUK MRS VICWOOD K T CHONG (WAH KWAI) KINDERGARTEN,南区,Southern
372,圣文嘉中英文幼稚园,ST. MONICA'S ANGLO-CHINESE KINDERGARTEN,南区,Southern
373,圣文嘉中英文幼稚园（华贵邨）,ST. MONICA'S ANGLO-CHINESE KINDERGARTEN (WAH KWAI ESTATE),南区,Southern
374,天主教圣伯多禄幼稚园,ST. PETER'S CATHOLIC KINDERGARTEN,南区,Southern
375,圣公会圣彼得堂幼稚园（赤柱分校）,ST. PETER'S CHURCH KINDERGARTEN (STANLEY),南区,Southern
376,圣德兰幼稚园,ST. TERESA'S KINDERGARTEN,南区,Southern
377,基督教海面传道会仁爱幼稚园,THE HONG KONG HARBOUR MISSION CHURCH YAN OI KINDERGARTEN,南区,Southern
378,救世军华富幼儿学校,THE SALVATION ARMY WAH FU NURSERY SCHOOL,南区,Southern
379,循道卫理田湾幼稚园,TIN WAN METHODIST KINDERGARTEN,南区,Southern
380,东华三院萧旺李满福幼儿园,TWGHS  SHIU WONG LEE MOON FOOK NURSERY SCHOOL,南区,Southern
381,东华三院田湾（一九九六至一九九七总理）幼稚园,TWGHS TIN WAN (1996-1997 DIRECTORS) KINDERGARTEN,南区,Southern
382,香港西区妇女福利会鸭脷洲邨幼稚园,WOMEN'S WELFARE CLUB WESTERN DISTRICT HONG KONG AP LEI CHAU KINDERGARTEN,南区,Southern
383,浸信会爱羣社会服务处培殷幼儿学校,BAPTIST OI KWAN SOCIAL SERVICE PUI YAN PRE-PRIMARY SCHOOL,深水埗区,Sham Shui Po
384,佛教曾果成中英文幼稚园,BUDDHIST TSANG KOR SING ANGLO-CHINESE KINDERGARTEN,深水埗区,Sham Shui Po
385,"智乐幼稚园
（南昌街校址）","CHE LOK KINDERGARTEN 
(LOCATION: NAM CHEONG STREET)",深水埗区,Sham Shui Po
386,"智乐幼稚园
（大南街校址）","CHE LOK KINDERGARTEN 
(LOCATION: TAI NAN STREET)",深水埗区,Sham Shui Po
387,长沙湾街坊福利会林谭燕华幼稚园,CHEUNG SHA WAN KAI FONG WELFARE ASSOCIATION LAM TAM YIN WAH KINDERGARTEN,深水埗区,Sham Shui Po
388,宣道会雷蔡群乐幼稚园,CHRISTIAN ALLIANCE LOUEY CHOY KWAN LOK KINDERGARTEN,深水埗区,Sham Shui Po
389,"地利亚英文小学暨幼稚园
（百老汇街校址）","DELIA ENGLISH PRIMARY SCHOOL & KINDERGARTEN 
(LOCATION: BROADWAY)",深水埗区,Sham Shui Po
390,"地利亚英文小学暨幼稚园
（第８期校址）","DELIA ENGLISH PRIMARY SCHOOL & KINDERGARTEN 
(LOCATION: STAGE 8)",深水埗区,Sham Shui Po
391,基督教香港信义会南昌幼稚园,EVANGELICAL LUTHERAN CHURCH OF HONG KONG NAM CHEONG KINDERGARTEN,深水埗区,Sham Shui Po
392,深信堂幼稚园,FAITH LUTHERAN CHURCH KINDERGARTEN,深水埗区,Sham Shui Po
393,佳宝幼稚园,GUIDEPOSTS KINDERGARTEN,深水埗区,Sham Shui Po
394,佳宝幼稚园（南昌分校）,GUIDEPOSTS KINDERGARTEN (NAM CHEONG BRANCH),深水埗区,Sham Shui Po
395,香港基督教服务处李郑屋幼儿学校,HONG KONG CHRISTIAN SERVICE LEI CHENG UK NURSERY SCHOOL,深水埗区,Sham Shui Po
396,香港基督教服务处石硖尾幼儿学校,HONG KONG CHRISTIAN SERVICE SHEK KIP MEI NURSERY SCHOOL,深水埗区,Sham Shui Po
397,香港基督教服务处大坑东幼儿学校,HONG KONG CHRISTIAN SERVICE TAI HANG TUNG NURSERY SCHOOL,深水埗区,Sham Shui Po
398,香港灵粮堂秀德幼稚园,HONG KONG LING LIANG CHURCH SAU TAK KINDERGARTEN,深水埗区,Sham Shui Po
399,香港灵粮堂秀德幼稚园（二校）,HONG KONG LING LIANG CHURCH SAU TAK KINDERGARTEN(CAMPUS 2),深水埗区,Sham Shui Po
400,香港圣公会基爱幼儿学校,HONG KONG SHENG KUNG HUI KEI OI NURSERY SCHOOL,深水埗区,Sham Shui Po
401,香港保护儿童会长沙湾幼儿学校,HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN CHEUNG SHA WAN NURSERY SCHOOL,深水埗区,Sham Shui Po
402,香港基督教女青年会宏恩幼稚园,HONG KONG Y.W.C.A ATHENA KINDERGARTEN,深水埗区,Sham Shui Po
403,香港基督教女青年会赵霭华幼儿学校,HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION CHIU OI WAH NURSERY SCHOOL,深水埗区,Sham Shui Po
404,香港基督教女青年会绍邦幼儿学校,HONG KONG YOUNG WOMEN'S CHRISTIAN ASSOCIATION SHIU PONG NURSERY SCHOOL,深水埗区,Sham Shui Po
405,雅各中英文幼稚园（深水埗校）,JAMES ANGLO-CHINESE KINDERGARTEN (SHAM SHUI PO),深水埗区,Sham Shui Po
406,基督教挪威差会主办信义中英文幼稚园,N-M-S' LUTHERAN KINDERGARTEN,深水埗区,Sham Shui Po
407,竹园区神召会南昌康乐幼儿学校,PENTECOSTAL CHURCH OF HONG KONG NAM CHEONG NURSERY SCHOOL,深水埗区,Sham Shui Po
408,保良局梁安琪幼稚园,PO LEUNG KUK ANGELA LEONG ON KEI KINDERGARTEN,深水埗区,Sham Shui Po
409,保良局刘陈小宝幼稚园,PO LEUNG KUK LAU CHAN SIU PO KINDERGARTEN,深水埗区,Sham Shui Po
410,宝血幼稚园（深水埗）,PRECIOUS BLOOD KINDERGARTEN (SHAM SHUI PO),深水埗区,Sham Shui Po
411,深水埗浸信会幼稚园,SHAM SHUI PO BAPTIST CHURCH KINDERGARTEN,深水埗区,Sham Shui Po
412,深水埗德善幼稚园,SHAM SHUI PO TAK SHIN KINDERGARTEN,深水埗区,Sham Shui Po
413,圣公会深水埗基爱堂幼稚园,SHENG KUNG HUI SHAM SHUI PO KEI OI CHURCH KINDERGARTEN,深水埗区,Sham Shui Po
414,圣多马堂幼稚园,ST. THOMAS' CHURCH KINDERGARTEN,深水埗区,Sham Shui Po
415,宣美幼稚园,SUEN MEI KINDERGARTEN,深水埗区,Sham Shui Po
416,德贞幼稚园,TACK CHING KINDERGARTEN,深水埗区,Sham Shui Po
417,中华基督教会协和幼稚园,THE CHURCH OF CHRIST IN CHINA HEEP WOH KINDERGARTEN,深水埗区,Sham Shui Po
418,中华基督教会基真幼稚园,THE CHURCH OF CHRIST IN CHINA KEI CHUN KINDERGARTEN,深水埗区,Sham Shui Po
419,中华基督教会深爱堂幼稚园,THE CHURCH OF CHRIST IN CHINA SHUM OI CHURCH KINDERGARTEN,深水埗区,Sham Shui Po
420,救世军白田幼儿学校,THE SALVATION ARMY PAK TIN NURSERY SCHOOL,深水埗区,Sham Shui Po
421,救世军苏屋幼稚园,THE SALVATION ARMY SO UK KINDERGARTEN,深水埗区,Sham Shui Po
422,基督教香港崇真会安康幼儿学校（顺宁道）,TSUNG TSIN MISSION OF HONG KONG ON HONG NURSERY SCHOOL (SHUN NING ROAD),深水埗区,Sham Shui Po
423,崇真会白田美善幼稚园,TSUNG TSIN MISSION PAK TIN GRACEFUL KINDERGARTEN,深水埗区,Sham Shui Po
424,崇真小学暨幼稚园,TSUNG TSIN PRIMARY SCHOOL AND KINDERGARTEN,深水埗区,Sham Shui Po
425,东华三院谭锦球伉俪幼稚园,TWGHS MR. & MRS. TAM KAM KAU KINDERGARTEN,深水埗区,Sham Shui Po
426,西太平洋幼稚园,WESTERN PACIFIC KINDERGARTEN,深水埗区,Sham Shui Po
427,仁爱堂庞卢淑燕幼稚园,YAN OI TONG PONG LO SHUK YIN KINDERGARTEN,深水埗区,Sham Shui Po
428,又一村学校,YAU YAT CHUEN SCHOOL,深水埗区,Sham Shui Po
429,蓝如溪盛成皿教育基金边陈之娟幼稚园,ALICE LAN & VERA SHEN EDUCATION FUND DELIA PEI KINDERGARTEN,沙田区,Sha Tin
430,基督教神召会合一堂幼稚园,ASSEMBLY OF GOD UNION CHURCH KINDERGARTEN,沙田区,Sha Tin
431,明爱沙田幼儿学校,CARITAS NURSERY SCHOOL - SHATIN,沙田区,Sha Tin
432,基督教宣道会颂安幼稚园,CHRISTIAN & MISSIONARY ALLIANCE JOYFUL PEACE KINDERGARTEN,沙田区,Sha Tin
433,基督教宣道会沙田幼儿学校,CHRISTIAN & MISSIONARY ALLIANCE SHATIN NURSERY SCHOOL,沙田区,Sha Tin
434,基督教小天使（锦丰）幼稚园,CHRISTIAN LITTLE ANGEL KINDERGARTEN  (KAM FUNG COURT),沙田区,Sha Tin
435,启思幼稚园（帝堡城）,CREATIVE KINDERGARTEN (CASTELLO),沙田区,Sha Tin
436,香港中文大学校友会联会张煊昌幼稚园,CUHK FEDERATION OF ALUMNI ASSOCIATIONS THOMAS CHEUNG KINDERGARTEN,沙田区,Sha Tin
437,基督教香港信义会颂安幼儿学校,ELCHK  CHUNG ON NURSERY SCHOOL,沙田区,Sha Tin
438,基督教香港信义会沙田信义幼稚园,ELCHK SHATIN LUTHERAN KINDERGARTEN,沙田区,Sha Tin
439,沙田灵光幼儿学校,EMMANUEL CHURCH SHATIN NURSERY SCHOOL,沙田区,Sha Tin
