SUMMARIZATION_LEVEL,NAME,ORGANIZATION_CITY,ORGANIZATION_ZIP,SERVICE_DESCRIPTION,SERVICE_METHOD_NAME,MEDIAN_ALLOWED_AMT,LOWER_25_ALLOWED_AMT,UPPER_75_ALLOWED_AMT,REPORTING_PERIOD_BEGIN_DT,REPORTING_PERIOD_END_DT
Organization,Southlake Clinic,Renton,98055,"Upper Endoscopy of Esophagus, Stomach and Duodenum (EGD)",Outpatient Surgery,1337.82,1176.94,1535.64,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Southwest Seattle Ambulatory Surgery Center,Burien,98166,Knee Arthroscopy,Outpatient Surgery,4177.5,3267.35,6157.1,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Southwest Washington Regional Surgery Center,Vancouver,98664,Partial Mastectomy,Outpatient Surgery,6089.59,4661.48,7162.37,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Southwest Washington Regional Surgery Center,Vancouver,98664,"Upper Endoscopy of Esophagus, Stomach and Duodenum (EGD)",Outpatient Surgery,1383.07,960.85,2341.07,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Southwest Washington Regional Surgery Center,Vancouver,98664,Colonoscopy with Lesion Removal,Outpatient Surgery,1851.39,1483.58,2171.67,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Spokane Digestive Disease Center,Spokane,99204,Diagnostic Colonoscopy,Outpatient Surgery,1096,1082.01,1117.2,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Sunrise Endoscopy Center,Puyallup,98374,Colonoscopy and Biopsy,Outpatient Surgery,1671.73,1523.99,1877.52,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,The Spokane Eye Surgery Center,Spokane,99204,After-Cataract Laser Surgery,Outpatient Surgery,689.92,664.32,740.64,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,The Surgery Center At Tri-City Orthopaedic,Kennewick,99336,Discectomy,Outpatient Surgery,7936.62,7576.53,9775.09,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,The Vancouver Clinic,Vancouver,98664,Knee Arthroscopy,Outpatient Surgery,4361.24,4055.57,4488.09,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Statewide,,,,Echocardiogram,Outpatient Diagnostic,955.06,421.93,1283.41,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,The Vancouver Clinic,Vancouver,98664,Diagnostic Colonoscopy,Outpatient Surgery,1388.43,1306,1826.96,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,The Vancouver Clinic,Vancouver,98664,Colonoscopy and Biopsy,Outpatient Surgery,1841.43,1540.12,2329.17,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,The Vancouver Clinic,Vancouver,98664,Cystoscopy of Bladder/Urethra,Outpatient Diagnostic,493.26,471.6,517.29,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,The Vancouver Clinic,Vancouver,98664,Transvaginal Ultrasound First Trimester,Outpatient Diagnostic,253.26,242.54,262.47,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Tri-Cities Endoscopy Center,Kennewick,99336,Colonoscopy with Lesion Removal,Outpatient Surgery,1074.67,1050.87,1115.47,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Tri-City Orthopaedics,Richland,99352,Drain/Injection Joint without Ultrasound Guidance,Outpatient Diagnostic,97.62,55.55,97.62,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Valley Eye And Laser Surgery,Renton,98055,Cataract Removal with Implant of Lens,Outpatient Surgery,2345.58,2332.36,2358.8,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Virginia Mason Bellevue Ambulatory Surgical Center,Bellevue,98004,Cystoscopy of Bladder/Urethra,Outpatient Diagnostic,1195.95,1195.95,1195.95,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Virginia Mason Issaquah Ambulatory Surgery Center,Issaquah,98027,"Upper Endoscopy of Esophagus, Stomach and Duodenum (EGD)",Outpatient Surgery,1807.66,1430.15,1986.11,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Waldron Endoscopy Center,Tacoma,98405,Colonoscopy with Lesion Removal,Outpatient Surgery,1689.4,1301.28,1915.66,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Walla Walla Clinic Ambulatory Surgery Center,Walla Walla,99362,"Upper Endoscopy of Esophagus, Stomach and Duodenum (EGD)",Outpatient Surgery,1688.58,1330.33,2033.78,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Walla Walla Clinic Ambulatory Surgery Center,Walla Walla,99362,Hysteroscopy with Biopsy,Outpatient Surgery,2842.63,2324.66,3607.85,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Washington Center For Pain Management,Bellevue,98004,Spine Epidural Injection,Outpatient Diagnostic,621.19,569.49,621.26,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Washington Urology Associates,Bellevue,98004,Transrectal Ultrasound and Biopsy of Prostrate,Outpatient Diagnostic,1070.7,792.02,1070.7,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Western Washington Medical Group - Endoscopy Center,Everett,98208,Diagnostic Colonoscopy,Outpatient Surgery,1056.56,1056.56,1333.77,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Inland Imaging Associates,Spokane,99202,Drain/Injection Joint without Ultrasound Guidance,Outpatient Diagnostic,151.06,129.44,162.43,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Inland Imaging Associates,Spokane,99202,MRI of the Spine,Outpatient Diagnostic,972.16,801.48,991.81,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Inland Imaging Associates,Spokane,99202,Esophagram,Outpatient Diagnostic,191.89,159.04,191.89,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Inland Imaging Associates,Spokane,99202,Transvaginal Ultrasound First Trimester,Outpatient Diagnostic,217.87,186.58,219.92,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Longview Orthopedic Associates,Longview,98632,Drain/Injection Joint without Ultrasound Guidance,Outpatient Diagnostic,87.1,74.03,87.63,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Longview Orthopedic Associates,Longview,98632,MRI of the Spine,Outpatient Diagnostic,577,577,600,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Longview Orthopedic Associates,Longview,98632,X-ray of Knee: 3+ Views,Outpatient Diagnostic,51.46,51.46,54.04,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Advanced Medical Imaging,Silverdale,98383,Bone Mineral Density Scan,Outpatient Diagnostic,68.08,68.08,164.45,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Belladonna Breast Imaging Center,Bellevue,98004,Breast Biopsy Including Ultrasound Guidance,Outpatient Surgery,1212.66,1118.53,1937.69,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Assured Imaging Women'S Wellness Of Washington,Tukwila,98188,Screening Digital Mammogram,Outpatient Diagnostic,188.06,182.58,192.76,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Breast Diagnostic Center,Auburn,98002,Breast Biopsy Including Ultrasound Guidance,Outpatient Surgery,1424.47,1204.5,1714.25,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Bellevue Medical Imaging,Bellevue,98004,MRI of the Spine,Outpatient Diagnostic,502.54,502.54,559.38,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Bellevue Medical Imaging,Bellevue,98004,Esophagram,Outpatient Diagnostic,123.51,123.51,131.24,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Tra - Medical Imaging,Tacoma,98405,MRI of the Spine,Outpatient Diagnostic,838.02,716.92,887.34,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,The Everett Clinic - Founders Building,Everett,98201,Obstetrical Ultrasound of Fetus,Outpatient Diagnostic,291.01,286.04,296.45,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Multicare Valley Hospital,Spokane Valley,99216,Colonoscopy and Biopsy,Outpatient Surgery,3114.34,2586.53,3835.3,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Multicare Valley Hospital,Spokane Valley,99216,Spine Epidural Injection,Outpatient Diagnostic,1757.08,1734.47,1829.89,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Swedish First Hill,Seattle,98122,Mastectomy with Breast Reconstruction: Outpatient,Outpatient Surgery,39608.16,32296.76,54746.01,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Swedish Issaquah,Issaquah,98029,Partial Mastectomy,Outpatient Surgery,12414.12,7465.14,15624.47,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Swedish Issaquah,Issaquah,98029,Diagnostic Colonoscopy,Outpatient Surgery,2132.17,1793.84,2193.21,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Swedish Issaquah,Issaquah,98029,Emergency Department Visit: Moderate Severity,Outpatient Diagnostic,453.26,397.9,531.31,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Swedish Issaquah,Issaquah,98029,Screening Digital Mammogram,Outpatient Diagnostic,229.73,193.18,250.77,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Toppenish Community Hospital,Toppenish,98948,X-ray of Knee: 3+ Views,Outpatient Diagnostic,126.62,15.81,266.07,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Toppenish Community Hospital,Toppenish,98948,Screening Digital Mammogram,Outpatient Diagnostic,414.87,174.84,441.3,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Trios Health,Kennewick,99336,Diagnostic Colonoscopy,Outpatient Surgery,1861.76,1733.24,2309.76,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Trios Health,Kennewick,99336,Colonoscopy and Biopsy,Outpatient Surgery,2207.68,2021.41,2487.91,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Trios Health,Kennewick,99336,Coronary Artery Angiogram,Outpatient Surgery,6438.44,5623.29,10505.74,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Tri-State Memorial Hospital,Clarkston,99403,Drain/Injection Joint without Ultrasound Guidance,Outpatient Diagnostic,79.66,67.71,113.27,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Tri-State Memorial Hospital,Clarkston,99403,Echocardiogram,Outpatient Diagnostic,1287.21,1232.63,1289.81,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Tri-State Memorial Hospital,Clarkston,99403,Emergency Department Visit: Moderate Severity,Outpatient Diagnostic,436.13,365.24,453.61,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Uw Medicine - Northwest Hospital & Medical Center,Seattle,98133,Esophagram,Outpatient Diagnostic,298.63,247.26,321.99,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Uw Medicine - Northwest Hospital & Medical Center,Seattle,98133,Echocardiogram,Outpatient Diagnostic,1234.41,955.06,1401.6,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Uw Medicine - Northwest Hospital & Medical Center,Seattle,98133,Screening Digital Mammogram,Outpatient Diagnostic,218.57,217.96,236.68,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Uw Medicine - University Of Washington Medical Center,Seattle,98195,Diagnostic Colonoscopy,Outpatient Surgery,2487.02,2353.71,2710.51,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Uw Medicine - University Of Washington Medical Center,Seattle,98195,Bone Mineral Density Scan,Outpatient Diagnostic,271.09,262.78,305.06,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Uw Medicine - University Of Washington Medical Center,Seattle,98195,Transrectal Ultrasound and Biopsy of Prostrate,Outpatient Diagnostic,3473.85,3063.53,3688.21,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Uw Medicine - University Of Washington Medical Center,Seattle,98195,Screening Digital Mammogram,Outpatient Diagnostic,149.84,149.38,156.17,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Uw Medicine - Valley Medical Center,Renton,98055,Drain/Injection Joint without Ultrasound Guidance,Outpatient Diagnostic,394.92,112.21,632.15,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Kadlec Regional Medical Center,Richland,99352,Laminectomy,Outpatient Surgery,12111.54,6668.66,15366.89,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Kittitas Valley Healthcare,Ellensburg,98926,Knee Arthroscopy,Outpatient Surgery,8834.4,6528.44,11236.85,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Kittitas Valley Healthcare,Ellensburg,98926,Cataract Removal with Implant of Lens,Outpatient Surgery,6141.94,5780.26,6719.31,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Kittitas Valley Healthcare,Ellensburg,98926,Echocardiogram,Outpatient Diagnostic,1448.3,934.23,1448.3,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Klickitat Valley Health,Goldendale,98620,Colonoscopy and Biopsy,Outpatient Surgery,3925.95,1470.82,5040.92,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Lake Chelan Community Hospital,Chelan,98816,Drain/Injection Joint without Ultrasound Guidance,Outpatient Diagnostic,79.66,79.66,79.66,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Lincoln Hospital,Davenport,99122,Screening Digital Mammogram,Outpatient Diagnostic,305.03,305.03,309.69,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Lourdes Medical Center,Pasco,99301,Transvaginal Ultrasound: Non-obstetric,Outpatient Diagnostic,254.19,237.22,420.81,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Mason General Hospital & Family Of Clinics,Shelton,98584,Echocardiogram,Outpatient Diagnostic,2507.78,2465.24,2735.45,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Morton General Hospital,Morton,98356,MRI of the Spine,Outpatient Diagnostic,3011.01,3011.01,3095.7,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Multicare Auburn Medical Center,Auburn,98001,Colonoscopy and Biopsy,Outpatient Surgery,3734.24,2672.78,4176.45,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Multicare Auburn Medical Center,Auburn,98001,Transvaginal Ultrasound First Trimester,Outpatient Diagnostic,479.79,214.79,551.54,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Multicare Good Samaritan Hospital,Puyallup,98372,Knee Arthroscopy,Outpatient Surgery,10772.14,9090.37,20465.03,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Multicare Tacoma General Hospital,Tacoma,98405,Drain/Injection Joint without Ultrasound Guidance,Outpatient Diagnostic,115.7,102.69,139.59,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Multicare Tacoma General Hospital,Tacoma,98405,"Upper Endoscopy of Esophagus, Stomach and Duodenum (EGD)",Outpatient Surgery,6110.12,4404.47,6425.46,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Multicare Tacoma General Hospital,Tacoma,98405,Colonoscopy and Biopsy,Outpatient Surgery,3773.8,3063.06,5441.36,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Multicare Tacoma General Hospital,Tacoma,98405,Hysteroscopy with Salpingo-oophorectomy,Outpatient Surgery,16219.18,11455.86,22241.76,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Multicare Tacoma General Hospital,Tacoma,98405,Laminectomy,Outpatient Surgery,18684.53,14428.93,25232.74,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Multicare Tacoma General Hospital,Tacoma,98405,Coronary Artery Angiogram,Outpatient Surgery,9709.25,7184,15370.4,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,North Valley Hospital,Tonasket,98855,Diagnostic Colonoscopy,Outpatient Surgery,4553.52,4045.58,4794.98,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,North Valley Hospital,Tonasket,98855,X-ray of Knee: 3+ Views,Outpatient Diagnostic,217.6,217.22,228.65,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,North Valley Hospital,Tonasket,98855,Obstetrical Ultrasound of Fetus,Outpatient Diagnostic,603.07,595.43,625.39,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,North Valley Hospital,Tonasket,98855,Bone Mineral Density Scan,Outpatient Diagnostic,331.43,330.47,347.87,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Ocean Beach Hospital,Ilwaco,98624,X-ray of Knee: 3+ Views,Outpatient Diagnostic,309.7,277.1,330.95,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Ocean Beach Hospital,Ilwaco,98624,Bone Mineral Density Scan,Outpatient Diagnostic,422.43,397.95,437.97,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Olympic Medical Center,Port Angeles,98362,X-ray of Knee: 3+ Views,Outpatient Diagnostic,235.93,145.44,246.98,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Overlake Medical Center,Bellevue,98004,Diagnostic Colonoscopy,Outpatient Surgery,2722.22,2139.32,4711.37,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Overlake Medical Center,Bellevue,98004,Obstetrical Ultrasound of Fetus,Outpatient Diagnostic,324.03,265.7,371.37,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Overlake Medical Center,Bellevue,98004,Coronary Angioplasty: Outpatient,Outpatient Surgery,24725.44,21673.4,26907.77,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Overlake Medical Center,Bellevue,98004,Emergency Department Visit: Moderate Severity,Outpatient Diagnostic,669.67,578.85,721.98,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Overlake Medical Center,Bellevue,98004,Hysterosalpingogram (HSG),Outpatient Diagnostic,810.25,810.25,1021.02,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Overlake Medical Center,Bellevue,98004,Diagnostic Digital Mammogram: Unilateral,Outpatient Diagnostic,265.17,204.16,265.17,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Overlake Medical Center,Bellevue,98004,Transvaginal Ultrasound: Non-obstetric,Outpatient Diagnostic,324.33,321.75,396.15,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Peacehealth Peace Island Medical Center,Friday Harbor,98250,Emergency Department Visit: Moderate Severity,Outpatient Diagnostic,407.25,383.31,489.05,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Peacehealth Southwest Medical Center,Vancouver,98664,Breast Biopsy Including Ultrasound Guidance,Outpatient Surgery,2742.29,2227.88,3196.62,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Peacehealth Southwest Medical Center,Vancouver,98664,Colonoscopy and Biopsy,Outpatient Surgery,3562.26,2997.49,4985.97,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Peacehealth Southwest Medical Center,Vancouver,98664,Bone Mineral Density Scan,Outpatient Diagnostic,248.85,216.21,296.57,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Peacehealth Southwest Medical Center,Vancouver,98664,Coronary Angioplasty: Outpatient,Outpatient Surgery,36543.36,29492.56,40239.4,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Peacehealth St. John Medical Center,Longview,98632,Diagnostic Digital Mammogram: Unilateral,Outpatient Diagnostic,426.18,251.41,431.78,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Peacehealth St. Joseph Medical Center,Bellingham,98225,Laminectomy,Outpatient Surgery,20105.05,17592.49,22382.68,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Peacehealth United General Medical Center,Sedro Woolley,98284,Esophagram,Outpatient Diagnostic,508.04,482.99,659.31,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Peacehealth United General Medical Center,Sedro Woolley,98284,Transvaginal Ultrasound: Non-obstetric,Outpatient Diagnostic,324.72,196.85,354.99,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Providence Centralia Hospital,Centralia,98531,Diagnostic Digital Mammogram: Unilateral,Outpatient Diagnostic,243.14,242.82,244.21,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Providence Holy Family Hospital,Spokane,99208,Colonoscopy and Biopsy,Outpatient Surgery,3020.05,2572.81,3648.67,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Providence Holy Family Hospital,Spokane,99208,Cataract Removal with Implant of Lens,Outpatient Surgery,5935.5,5084.23,6110.89,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Providence Mount Carmel Hospital,Colville,99114,X-ray of Hip: 2+ Views,Outpatient Diagnostic,416.91,394.72,416.91,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Providence Regional Medical Center Everett,Everett,98201,Breast Biopsy Including Ultrasound Guidance,Outpatient Surgery,2988.76,2597.96,3792.46,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Providence Regional Medical Center Everett,Everett,98201,Hysteroscopy with Salpingo-oophorectomy,Outpatient Surgery,13120.26,10955.92,15667.96,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Providence Regional Medical Center Everett,Everett,98201,Coronary Artery Angiogram,Outpatient Surgery,8269.33,6803.22,17851.81,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Providence Regional Medical Center Everett,Everett,98201,Simple Mastectomy: Outpatient,Outpatient Surgery,15287.86,12857.18,18929.71,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Providence Regional Medical Center Everett,Everett,98201,Tubal Ligation: Laparoscopic,Outpatient Surgery,9980.39,3213.29,12064.47,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Providence Sacred Heart Medical Center & Children'S Hospital,Spokane,99204,Discectomy,Outpatient Surgery,13074.66,10218.21,14191.19,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Providence Sacred Heart Medical Center & Children'S Hospital,Spokane,99204,Simple Mastectomy: Outpatient,Outpatient Surgery,15598.96,12478.44,20224.84,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Providence St. Mary Medical Center,Walla Walla,99362,X-ray of Knee: 3+ Views,Outpatient Diagnostic,264.92,211.45,281.93,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Providence St. Mary Medical Center,Walla Walla,99362,Transvaginal Ultrasound: Non-obstetric,Outpatient Diagnostic,553.85,462.33,610.41,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Providence St. Peter Hospital,Olympia,98506,Partial Mastectomy,Outpatient Surgery,13705.11,9566.75,15695.17,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Providence St. Peter Hospital,Olympia,98506,Spine Epidural Injection,Outpatient Diagnostic,2102.9,1494.62,2214.94,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Providence St. Peter Hospital,Olympia,98506,X-ray of Hip: 2+ Views,Outpatient Diagnostic,139.5,139.5,186.67,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Providence St. Peter Hospital,Olympia,98506,Obstetrical Ultrasound of Fetus,Outpatient Diagnostic,366.98,288.2,451.05,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Franciscan Medical Group,Tacoma,98402,Echocardiogram,Outpatient Diagnostic,426.37,420.42,438.85,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Harbor Medical Group,Aberdeen,98520,X-ray of Knee: 3+ Views,Outpatient Diagnostic,51.46,51.24,54.04,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Northwest Gastroenterology Associates,Bellevue,98004,"Upper Endoscopy of Esophagus, Stomach and Duodenum (EGD)",Outpatient Surgery,996.3,493.49,1169.33,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Northwest Gastroenterology Associates,Bellevue,98004,Colonoscopy with Lesion Removal,Outpatient Surgery,1977.35,1849.01,2314.35,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Oregon Health & Science University,Portland,97239,Transvaginal Ultrasound: Non-obstetric,Outpatient Diagnostic,389.05,356.01,432.41,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Pacific Medical Centers,Seattle,98124,Cystoscopy of Bladder/Urethra,Outpatient Diagnostic,387.83,378.77,390.13,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Pacific Medical Centers,Seattle,98124,Transvaginal Ultrasound: Non-obstetric,Outpatient Diagnostic,244.19,205.09,244.19,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Advanced Endoscopy Center,Vancouver,98686,"Upper Endoscopy of Esophagus, Stomach and Duodenum (EGD)",Outpatient Surgery,1214.29,1055.69,1602.57,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Auburn Surgical Center,Auburn,98002,Drain/Injection Joint with Ultrasound Guidance,Outpatient Diagnostic,99.66,96.99,145.49,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Cascade Surgery Associates,Auburn,98002,Knee Arthroscopy,Outpatient Surgery,2227.54,2167.65,2273.65,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Clearview Eye And Laser,Seattle,98126,Cataract Removal with Implant of Lens,Outpatient Surgery,2542.85,2459.49,2679.12,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Confluence Health - Moses Lake Asc,Moses Lake,98837,"Upper Endoscopy of Esophagus, Stomach and Duodenum (EGD)",Outpatient Surgery,1545.52,1340.94,1801.37,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Surgical Associates Northwest,Federal Way,98003,Cystoscopy of Bladder/Urethra,Outpatient Diagnostic,266.26,266.26,290,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Western Washington Medical Group - Dept. Of Orthopedics,Everett,98201,X-ray of Hip: 2+ Views,Outpatient Diagnostic,59.78,59.78,61.4,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Bogachiel Clinic,Forks,98331,Transvaginal Ultrasound: Non-obstetric,Outpatient Diagnostic,171.36,101.92,171.36,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
Organization,Capital Medical Center Specialty Physicians,Olympia,98502,Drain/Injection Joint without Ultrasound Guidance,Outpatient Diagnostic,84.58,79.66,93.79,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM
