Fiscal Year,County,Region,Children Receiving Adoption Subsidy,Federally Funded (Title IV-E),State Paid
2021,Parker,3-Arlington,251,238,13
2021,Parmer,1-Lubbock,20,18,2
2021,Pecos,9-Midland,19,17,2
2021,Polk,5-Beaumont,102,89,13
2021,Potter,1-Lubbock,504,484,20
2021,Presidio,10-El Paso,1,1,0
2021,Rains,4-Tyler,35,33,2
2021,Randall,1-Lubbock,449,413,36
2021,Reagan,9-Midland,10,10,0
2021,Real,8-San Antonio,15,13,2
2021,Red River,4-Tyler,25,23,2
2021,Reeves,9-Midland,13,13,0
2021,Refugio,11-Edinburg,8,8,0
2021,Robertson,7-Austin,53,50,3
2021,Rockwall,3-Arlington,90,81,9
2021,Runnels,2-Abilene,26,25,1
2021,Rusk,4-Tyler,84,79,5
2021,Sabine,5-Beaumont,24,20,4
2021,San Augustine,5-Beaumont,13,12,1
2021,San Jacinto,5-Beaumont,24,23,1
2021,San Patricio,11-Edinburg,172,153,19
2021,San Saba,7-Austin,40,39,1
2021,Schleicher,9-Midland,6,6,0
2021,Scurry,2-Abilene,34,33,1
2021,Shackelford,2-Abilene,4,4,0
2021,Shelby,5-Beaumont,48,45,3
2021,Sherman,1-Lubbock,8,6,2
2021,Smith,4-Tyler,573,484,89
2021,Somervell,3-Arlington,18,15,3
2021,Starr,11-Edinburg,21,20,1
2021,Stephens,2-Abilene,13,13,0
2021,Stonewall,2-Abilene,5,5,0
2021,Sutton,9-Midland,8,8,0
2021,Swisher,1-Lubbock,31,29,2
2021,Tarrant,3-Arlington,2797,2569,228
2021,Taylor,2-Abilene,344,325,19
2021,Terry,1-Lubbock,41,36,5
2021,Titus,4-Tyler,72,66,6
2021,Tom Green,9-Midland,594,571,23
2021,Travis,7-Austin,2603,2277,326
2021,Trinity,5-Beaumont,38,36,2
2021,Tyler,5-Beaumont,28,26,2
2021,Upshur,4-Tyler,100,91,9
2021,Upton,9-Midland,6,6,0
2021,Uvalde,8-San Antonio,141,124,17
2021,Val Verde,8-San Antonio,75,71,4
2021,Van Zandt,4-Tyler,220,197,23
2021,Victoria,8-San Antonio,252,227,25
2021,Walker,6-Houston,53,51,2
2021,Waller,6-Houston,88,86,2
2021,Ward,9-Midland,16,16,0
2021,Washington,7-Austin,51,48,3
2021,Webb,11-Edinburg,350,333,17
2021,Wharton,6-Houston,71,63,8
2021,Wheeler,1-Lubbock,12,12,0
2021,Wichita,2-Abilene,353,337,16
2021,Wilbarger,2-Abilene,20,19,1
2021,Willacy,11-Edinburg,41,35,6
2021,Williamson,7-Austin,774,699,75
2021,Wilson,8-San Antonio,127,103,24
2021,Winkler,9-Midland,24,21,3
2021,Wise,3-Arlington,107,104,3
2021,Wood,4-Tyler,118,99,19
2021,Yoakum,1-Lubbock,10,9,1
2021,Young,2-Abilene,60,58,2
2021,Zapata,11-Edinburg,6,6,0
2021,Zavala,8-San Antonio,57,52,5
2020,Anderson,4-Tyler,107,90,17
2020,Andrews,9-Midland,32,30,2
2020,Angelina,5-Beaumont,196,183,13
2020,Aransas,11-Edinburg,124,122,2
2020,Archer,2-Abilene,3,3,0
2020,Armstrong,1-Lubbock,1,1,0
2020,Atascosa,8-San Antonio,367,326,41
2020,Austin,6-Houston,25,23,2
2020,Bailey,1-Lubbock,17,17,0
2020,Bandera,8-San Antonio,96,88,8
2020,Bastrop,7-Austin,323,263,60
2020,Baylor,2-Abilene,5,4,1
2020,Bee,11-Edinburg,76,72,4
2020,Bell,7-Austin,1077,918,159
2020,Bexar,8-San Antonio,10133,9026,1107
2020,Blanco,7-Austin,29,26,3
2020,Bosque,7-Austin,63,57,6
2020,Bowie,4-Tyler,161,139,22
2020,Brazoria,6-Houston,258,231,27
2020,Brazos,7-Austin,301,271,30
2020,Brewster,10-El Paso,10,10,0
2020,Brooks,11-Edinburg,17,17,0
2020,Brown,2-Abilene,269,251,18
2020,Burleson,7-Austin,52,46,6
2020,Burnet,7-Austin,228,191,37
2020,Caldwell,7-Austin,183,172,11
2020,Calhoun,8-San Antonio,25,23,2
2020,Callahan,2-Abilene,24,24,0
2020,Cameron,11-Edinburg,249,239,10
2020,Camp,4-Tyler,41,32,9
2020,Carson,1-Lubbock,19,19,0
2020,Cass,4-Tyler,58,49,9
2020,Castro,1-Lubbock,16,14,2
2020,Chambers,6-Houston,31,27,4
2020,Cherokee,4-Tyler,190,172,18
2020,Childress,1-Lubbock,28,22,6
2020,Clay,2-Abilene,9,7,2
2020,Cochran,1-Lubbock,6,4,2
2020,Coke,9-Midland,10,10,0
2020,Coleman,2-Abilene,28,27,1
2020,Collin,3-Arlington,627,553,74
2020,Collingsworth,1-Lubbock,18,17,1
2020,Colorado,6-Houston,54,50,4
2020,Comal,8-San Antonio,395,350,46
2020,Comanche,2-Abilene,28,28,0
2020,Concho,9-Midland,5,5,0
2020,Cooke,3-Arlington,132,121,11
2020,Coryell,7-Austin,144,129,15
2020,Crane,9-Midland,4,4,0
2020,Crockett,9-Midland,8,8,0
2020,Crosby,1-Lubbock,33,33,0
2020,Culberson,10-El Paso,3,3,0
2020,Dallam,1-Lubbock,24,23,1
2020,Dallas,3-Arlington,3358,3097,261
2020,Dawson,9-Midland,48,45,3
2020,DeWitt,8-San Antonio,61,55,6
2020,Deaf Smith,1-Lubbock,62,60,2
2020,Delta,4-Tyler,19,16,3
2020,Denton,3-Arlington,887,782,105
2020,Dickens,1-Lubbock,5,5,0
2020,Dimmit,8-San Antonio,62,58,4
2020,Donley,1-Lubbock,18,18,0
2020,Duval,11-Edinburg,15,14,1
2020,Eastland,2-Abilene,28,26,2
2020,Ector,9-Midland,439,395,44
2020,Edwards,8-San Antonio,6,6,0
2020,El Paso,10-El Paso,1001,958,43
2020,Ellis,3-Arlington,193,175,18
2020,Erath,3-Arlington,46,45,1
2020,Falls,7-Austin,29,29,0
2020,Fannin,3-Arlington,81,71,10
2020,Fayette,7-Austin,79,67,12
2020,Fisher,2-Abilene,6,5,1
2020,Floyd,1-Lubbock,28,27,1
2020,Foard,2-Abilene,2,2,0
2020,Fort Bend,6-Houston,283,254,29
2020,Franklin,4-Tyler,19,15,4
2020,Freestone,7-Austin,34,30,4
2020,Frio,8-San Antonio,170,149,21
2020,Gaines,9-Midland,31,27,4
2020,Galveston,6-Houston,516,489,27
2020,Garza,1-Lubbock,9,8,1
2020,Gillespie,8-San Antonio,57,45,12
2020,Goliad,8-San Antonio,5,5,0
2020,Gonzales,8-San Antonio,73,69,4
2020,Gray,1-Lubbock,103,90,13
2020,Grayson,3-Arlington,305,271,34
2020,Gregg,4-Tyler,400,353,47
2020,Grimes,7-Austin,53,50,3
2020,Guadalupe,8-San Antonio,321,297,24
2020,Hale,1-Lubbock,112,108,4
2020,Hall,1-Lubbock,10,9,1
2020,Hamilton,7-Austin,17,17,0
2020,Hansford,1-Lubbock,10,10,0
2020,Hardeman,2-Abilene,3,3,0
2020,Hardin,5-Beaumont,75,64,11
2020,Harris,6-Houston,8716,7959,758
2020,Harrison,4-Tyler,118,99,19
2020,Hartley,1-Lubbock,9,8,1
2020,Haskell,2-Abilene,21,21,0
2020,Hays,7-Austin,378,346,32
2020,Hemphill,1-Lubbock,10,10,0
2020,Henderson,4-Tyler,276,236,40
2020,Hidalgo,11-Edinburg,173,173,0
2020,Hill,7-Austin,118,102,16
2020,Hockley,1-Lubbock,130,120,10
2020,Hood,3-Arlington,111,100,11
2020,Hopkins,4-Tyler,128,114,14
2020,Houston,5-Beaumont,57,56,1
2020,Howard,9-Midland,118,112,6
2020,Hudspeth,10-El Paso,1,1,0
2020,Hunt,3-Arlington,480,436,44
2020,Hutchinson,1-Lubbock,54,51,3
2020,Jack,2-Abilene,3,3,0
2020,Jackson,8-San Antonio,34,33,1
2020,Jasper,5-Beaumont,111,105,6
2020,Jefferson,5-Beaumont,632,569,63
2020,Jim Hogg,11-Edinburg,9,9,0
2020,Jim Wells,11-Edinburg,84,76,8
2020,Johnson,3-Arlington,438,408,30
2020,Jones,2-Abilene,28,28,0
2020,Karnes,8-San Antonio,57,57,0
2020,Kaufman,3-Arlington,262,230,32
2020,Kendall,8-San Antonio,68,60,8
2020,Kerr,8-San Antonio,270,227,43
2020,Kimble,9-Midland,19,18,1
2020,Kinney,8-San Antonio,3,3,0
2020,Kleberg,11-Edinburg,80,75,5
2020,Knox,2-Abilene,3,3,0
2020,La Salle,8-San Antonio,33,25,8
2020,Lamar,4-Tyler,86,75,11
2020,Lamb,1-Lubbock,44,42,2
2020,Lampasas,7-Austin,60,55,5
2020,Lavaca,8-San Antonio,53,50,3
2020,Lee,7-Austin,33,31,2
2020,Leon,7-Austin,24,22,2
2020,Liberty,6-Houston,212,188,24
2020,Limestone,7-Austin,58,50,8
2020,Lipscomb,1-Lubbock,7,7,0
2020,Live Oak,11-Edinburg,33,32,1
2020,Llano,7-Austin,77,70,7
2020,Lubbock,1-Lubbock,1726,1603,123
2020,Lynn,1-Lubbock,10,10,0
2020,Madison,7-Austin,28,26,2
2020,Marion,4-Tyler,14,13,1
2020,Mason,9-Midland,3,3,0
2020,Matagorda,6-Houston,51,49,2
2020,Maverick,8-San Antonio,24,22,2
2020,McCulloch,9-Midland,30,28,2
2020,McLennan,7-Austin,1102,1040,62
2020,Medina,8-San Antonio,286,251,35
2020,Menard,9-Midland,7,7,0
2020,Midland,9-Midland,266,242,24
2020,Milam,7-Austin,135,116,19
2020,Mills,7-Austin,11,11,0
2020,Mitchell,2-Abilene,4,3,1
2020,Montague,2-Abilene,55,50,5
2020,Montgomery,6-Houston,984,855,129
2020,Moore,1-Lubbock,30,23,7
2020,Morris,4-Tyler,17,16,1
2020,Motley,1-Lubbock,2,1,1
2020,Nacogdoches,5-Beaumont,217,191,26
2020,Navarro,3-Arlington,163,146,17
2020,Newton,5-Beaumont,28,25,3
2020,Nolan,2-Abilene,36,36,0
2020,None Specified,None Specified,29,27,2
2020,Nueces,11-Edinburg,624,574,50
2020,Ochiltree,1-Lubbock,7,7,0
2020,Oldham,1-Lubbock,2,2,0
2020,Orange,5-Beaumont,221,192,29
2020,Palo Pinto,3-Arlington,164,154,10
2020,Panola,4-Tyler,23,22,1
2020,Parker,3-Arlington,257,243,14
2020,Parmer,1-Lubbock,19,17,2
2020,Pecos,9-Midland,20,18,2
2020,Polk,5-Beaumont,95,81,14
2020,Potter,1-Lubbock,477,452,25
2020,Presidio,10-El Paso,3,3,0
2020,Rains,4-Tyler,35,32,3
2020,Randall,1-Lubbock,458,418,40
2020,Reagan,9-Midland,10,10,0
2020,Real,8-San Antonio,15,13,2
2020,Red River,4-Tyler,25,23,2
2020,Reeves,9-Midland,15,15,0
2020,Refugio,11-Edinburg,2,2,0
2020,Robertson,7-Austin,53,50,3
2020,Rockwall,3-Arlington,82,73,9
2020,Runnels,2-Abilene,22,21,1
2020,Rusk,4-Tyler,76,71,5
2020,Sabine,5-Beaumont,24,20,4
2020,San Augustine,5-Beaumont,11,10,1
2020,San Jacinto,5-Beaumont,22,20,2
2020,San Patricio,11-Edinburg,164,142,22
2020,San Saba,7-Austin,33,31,2
2020,Schleicher,9-Midland,6,6,0
2020,Scurry,2-Abilene,30,29,1
2020,Shackelford,2-Abilene,4,4,0
2020,Shelby,5-Beaumont,47,44,3
2020,Sherman,1-Lubbock,10,8,2
2020,Smith,4-Tyler,568,470,98
2020,Somervell,3-Arlington,14,11,3
2020,Starr,11-Edinburg,21,20,1
2020,Stephens,2-Abilene,16,16,0
2020,Stonewall,2-Abilene,5,5,0
2020,Sutton,9-Midland,8,8,0
2020,Swisher,1-Lubbock,30,28,2
2020,Tarrant,3-Arlington,2763,2511,253
2020,Taylor,2-Abilene,320,300,20
2020,Terry,1-Lubbock,44,39,5
2020,Titus,4-Tyler,63,55,8
2020,Tom Green,9-Midland,571,544,27
2020,Travis,7-Austin,2610,2253,357
2020,Trinity,5-Beaumont,37,34,3
2020,Tyler,5-Beaumont,27,24,3
2020,Upshur,4-Tyler,82,73,9
2020,Upton,9-Midland,6,6,0
2020,Uvalde,8-San Antonio,130,111,19
2020,Val Verde,8-San Antonio,62,58,4
2020,Van Zandt,4-Tyler,209,185,24
2020,Victoria,8-San Antonio,230,202,28
2020,Walker,6-Houston,56,54,2
2020,Waller,6-Houston,88,86,2
2020,Ward,9-Midland,11,11,0
2020,Washington,7-Austin,64,61,3
2020,Webb,11-Edinburg,366,345,21
2020,Wharton,6-Houston,75,67,8
2020,Wheeler,1-Lubbock,12,12,0
2020,Wichita,2-Abilene,357,335,22
2020,Wilbarger,2-Abilene,21,20,1
2020,Willacy,11-Edinburg,42,34,8
2020,Williamson,7-Austin,748,667,83
2020,Wilson,8-San Antonio,129,104,25
2020,Winkler,9-Midland,16,13,3
2020,Wise,3-Arlington,100,97,3
2020,Wood,4-Tyler,120,99,21
2020,Yoakum,1-Lubbock,11,10,1
2020,Young,2-Abilene,56,54,2
2020,Zapata,11-Edinburg,6,6,0
2020,Zavala,8-San Antonio,49,44,5
2019,Anderson,4-Tyler,104,84,20
2019,Andrews,9-Midland,31,29,2
2019,Angelina,5-Beaumont,179,162,17
2019,Aransas,11-Edinburg,103,101,2
2019,Archer,2-Abilene,2,2,0
2019,Armstrong,1-Lubbock,4,4,0
2019,Atascosa,8-San Antonio,359,317,42
2019,Austin,6-Houston,28,26,2
2019,Bailey,1-Lubbock,18,18,0
2019,Bandera,8-San Antonio,91,83,8
2019,Bastrop,7-Austin,319,257,62
2019,Baylor,2-Abilene,7,6,1
2019,Bee,11-Edinburg,76,72,4
2019,Bell,7-Austin,1002,839,163
2019,Bexar,8-San Antonio,9932,8750,1184
2019,Blanco,7-Austin,24,21,3
2019,Bosque,7-Austin,61,56,5
2019,Bowie,4-Tyler,170,143,28
2019,Brazoria,6-Houston,237,207,30
2019,Brazos,7-Austin,291,259,32
2019,Brewster,10-El Paso,10,10,0
2019,Brooks,11-Edinburg,17,17,0
2019,Brown,2-Abilene,261,239,22
2019,Burleson,7-Austin,46,42,4
2019,Burnet,7-Austin,220,182,38
2019,Caldwell,7-Austin,186,174,12
2019,Calhoun,8-San Antonio,24,20,4
2019,Callahan,2-Abilene,20,20,0
2019,Cameron,11-Edinburg,251,240,11
2019,Camp,4-Tyler,42,33,9
2019,Carson,1-Lubbock,17,17,0
2019,Cass,4-Tyler,60,49,11
2019,Castro,1-Lubbock,22,20,2
2019,Chambers,6-Houston,33,29,4
2019,Cherokee,4-Tyler,185,167,18
2019,Childress,1-Lubbock,29,23,6
2019,Clay,2-Abilene,15,12,3
2019,Cochran,1-Lubbock,9,7,2
