SUMMARIZATION_LEVEL,NAME,ORGANIZATION_CITY,ORGANIZATION_ZIP,PRODUCT_TYPE,MEASURE_CODE,MEASURE_DESCRIPTION,MEASURE_COMPONENT,MEASURE_SUMMARY_UNITS,AGE_STRATIFICATION,MEASURE_RESULT,LOWER_95_CI,UPPER_95_CI,REPORTING_PERIOD_BEGIN_DT,REPORTING_PERIOD_END_DT,PERFORMANCE_CATEGORY
Hospital,Toppenish Community Hospital,Toppenish,98948,ALL,FALLS-I,Falls with Injury,Visit Count,"Rate per 1,000 Member-Years",Overall,0.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Trios Health,Kennewick,99336,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.77,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Trios Health,Kennewick,99336,ALL,H-HSP-RATING,Overall Rating of Hospital,Score,Score,Overall,3.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Tri-State Memorial Hospital,Clarkston,99403,ALL,CAUTI-ICU,Catheter-Associated Urinary Tract Infections within ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Tri-State Memorial Hospital,Clarkston,99403,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,3.33,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Uw Medicine - Northwest Hospital & Medical Center,Seattle,98133,ALL,H-COMP-STK-4,Stroke Care: Thrombolytic Therapy,Compliance,Percent Compliance,Overall,0.97,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Uw Medicine - Northwest Hospital & Medical Center,Seattle,98133,ALL,FALLS-I,Falls with Injury,Visit Count,"Rate per 1,000 Member-Years",Overall,0.93,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Uw Medicine - Valley Medical Center,Renton,98055,ALL,H-COMP-PSI-90,Patient Safety for Selected Indicators (composite measure),Score,Score,Overall,1.15,0.89,1.41,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Uw Medicine - Valley Medical Center,Renton,98055,ALL,FALLS-I,Falls with Injury,Visit Count,"Rate per 1,000 Member-Years",Overall,0.68,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Virginia Mason Medical Center,Seattle,98101,ALL,MORT-30-AMI,30-Day All-Cause Mortality Rate Following Acute Myocardial Infarction,Compliance,Percent Compliance,Overall,0.13,0.1,0.16,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Virginia Mason Medical Center,Seattle,98101,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,1.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Whidbeyhealth Medical Center,Coupeville,98239,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.16,0.15,0.17,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Whidbeyhealth Medical Center,Coupeville,98239,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.8,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Whitman Hospital & Medical Center,Colfax,99111,ALL,H-COMP-D,Patient Experience with Hospital Care: Discharge Information,Score,Score,Overall,0.9,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Providence Centralia Hospital,Centralia,98531,ALL,MORT-30-AMI,30-Day All-Cause Mortality Rate Following Acute Myocardial Infarction,Compliance,Percent Compliance,Overall,0.14,0.11,0.18,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Providence Centralia Hospital,Centralia,98531,ALL,H-COMP-PSI-90,Patient Safety for Selected Indicators (composite measure),Score,Score,Overall,0.8,0.44,1.17,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Mid-Valley Hospital,Omak,98841,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.76,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Providence Regional Medical Center Everett,Everett,98201,ALL,MORT-30-AMI,30-Day All-Cause Mortality Rate Following Acute Myocardial Infarction,Compliance,Percent Compliance,Overall,0.14,0.12,0.17,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Providence St. Joseph'S Hospital,Chewelah,99109,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.15,0.13,0.17,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Providence St. Peter Hospital,Olympia,98506,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.14,0.13,0.15,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Providence St. Peter Hospital,Olympia,98506,ALL,CAUTI-ICU,Catheter-Associated Urinary Tract Infections within ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.82,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Pullman Regional Hospital,Pullman,99163,ALL,CAUTI-ICU,Catheter-Associated Urinary Tract Infections within ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Seattle Cancer Care Alliance,Seattle,98109,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Seattle Children'S Hospital,Seattle,98105,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.97,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,St. Anthony Hospital,Gig Harbor,98332,ALL,MORT-30-AMI,30-Day All-Cause Mortality Rate Following Acute Myocardial Infarction,Compliance,Percent Compliance,Overall,0.14,0.11,0.18,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,St. Anthony Hospital,Gig Harbor,98332,ALL,H-COMP-STK-4,Stroke Care: Thrombolytic Therapy,Compliance,Percent Compliance,Overall,0.73,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,St. Anthony Hospital,Gig Harbor,98332,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.79,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,St. Clare Hospital,Lakewood,98499,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.78,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,St. Clare Hospital,Lakewood,98499,ALL,CAUTI-ICU,Catheter-Associated Urinary Tract Infections within ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.58,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,St. Elizabeth Hospital,Enumclaw,98022,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.15,0.14,0.16,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,St. Elizabeth Hospital,Enumclaw,98022,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.8,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,St. Francis Hospital,Federal Way,98003,ALL,MORT-30-AMI,30-Day All-Cause Mortality Rate Following Acute Myocardial Infarction,Compliance,Percent Compliance,Overall,0.16,0.13,0.2,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,St. Francis Hospital,Federal Way,98003,ALL,H-HSP-RATING,Overall Rating of Hospital,Score,Score,Overall,3.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Harrison Medical Center,Bremerton,98310,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.95,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Island Hospital,Anacortes,98221,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.15,0.14,0.16,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Jefferson Healthcare,Port Townsend,98368,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.81,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Capital Medical Center,Olympia,98502,ALL,H-HSP-RATING,Overall Rating of Hospital,Score,Score,Overall,4.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Columbia County Health System,Dayton,99328,ALL,FALLS-I,Falls with Injury,Visit Count,"Rate per 1,000 Member-Years",Overall,3.9,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Harrison Medical Center,Bremerton,98310,ALL,H-HSP-RATING,Overall Rating of Hospital,Score,Score,Overall,3.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Harrison Medical Center,Bremerton,98310,ALL,NTSV C-SECTION,Cesarean Birth,Visit Count,"Rate per 1,000 Member-Years",Overall,21.52,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Jefferson Healthcare,Port Townsend,98368,ALL,FALLS-I,Falls with Injury,Visit Count,"Rate per 1,000 Member-Years",Overall,0.24,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Kadlec Regional Medical Center,Richland,99352,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.16,0.15,0.17,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Kadlec Regional Medical Center,Richland,99352,ALL,NTSV C-SECTION,Cesarean Birth,Visit Count,"Rate per 1,000 Member-Years",Overall,27.58,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Lake Chelan Community Hospital,Chelan,98816,ALL,NTSV C-SECTION,Cesarean Birth,Visit Count,"Rate per 1,000 Member-Years",Overall,26.32,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Legacy Salmon Creek Medical Center,Vancouver,98686,ALL,H-COMP-STK-4,Stroke Care: Thrombolytic Therapy,Compliance,Percent Compliance,Overall,0.83,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Lincoln Hospital,Davenport,99122,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.15,0.14,0.17,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Lincoln Hospital,Davenport,99122,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.89,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Multicare Deaconess Hospital,Spokane,99204,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.74,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Multicare Deaconess Hospital,Spokane,99204,ALL,H-HSP-RATING,Overall Rating of Hospital,Score,Score,Overall,2.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Lourdes Medical Center,Pasco,99301,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.8,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Mason General Hospital & Family Of Clinics,Shelton,98584,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.16,0.15,0.17,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Mason General Hospital & Family Of Clinics,Shelton,98584,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,St. Anthony Hospital,Gig Harbor,98332,ALL,H-COMP-D,Patient Experience with Hospital Care: Discharge Information,Score,Score,Overall,0.9,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Swedish First Hill,Seattle,98122,ALL,H-COMP-D,Patient Experience with Hospital Care: Discharge Information,Score,Score,Overall,0.86,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Highline Medical Center,Tukwila,98168,ALL,H-COMP-D,Patient Experience with Hospital Care: Discharge Information,Score,Score,Overall,0.87,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Capital Medical Center,Olympia,98502,ALL,H-COMP-PSI-90,Patient Safety for Selected Indicators (composite measure),Score,Score,Overall,1.19,0.87,1.5,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Evergreenhealth Medical Center,Kirkland,98034,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.78,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Yakima Regional Medical & Cardiac Center,Yakima,98902,ALL,H-COMP-PSI-90,Patient Safety for Selected Indicators (composite measure),Score,Score,Overall,0.92,0.61,1.23,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Yakima Regional Medical & Cardiac Center,Yakima,98902,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.73,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Yakima Regional Medical & Cardiac Center,Yakima,98902,ALL,CAUTI-ICU,Catheter-Associated Urinary Tract Infections within ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Yakima Regional Medical & Cardiac Center,Yakima,98902,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.58,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Multicare Auburn Medical Center,Auburn,98001,ALL,FALLS-I,Falls with Injury,Visit Count,"Rate per 1,000 Member-Years",Overall,0.75,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Multicare Good Samaritan Hospital,Puyallup,98372,ALL,H-COMP-PSI-90,Patient Safety for Selected Indicators (composite measure),Score,Score,Overall,1.06,0.79,1.34,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Multicare Good Samaritan Hospital,Puyallup,98372,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.76,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Multicare Good Samaritan Hospital,Puyallup,98372,ALL,NTSV C-SECTION,Cesarean Birth,Visit Count,"Rate per 1,000 Member-Years",Overall,28.27,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Multicare Good Samaritan Hospital,Puyallup,98372,ALL,FALLS-I,Falls with Injury,Visit Count,"Rate per 1,000 Member-Years",Overall,0.6,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Newport Hospital & Health Services,Newport,99156,ALL,FALLS-I,Falls with Injury,Visit Count,"Rate per 1,000 Member-Years",Overall,1.27,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Ocean Beach Hospital,Ilwaco,98624,ALL,FALLS-I,Falls with Injury,Visit Count,"Rate per 1,000 Member-Years",Overall,0.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Olympic Medical Center,Port Angeles,98362,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.77,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Olympic Medical Center,Port Angeles,98362,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.54,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Peacehealth Southwest Medical Center,Vancouver,98664,ALL,MORT-30-AMI,30-Day All-Cause Mortality Rate Following Acute Myocardial Infarction,Compliance,Percent Compliance,Overall,0.16,0.14,0.19,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Peacehealth Southwest Medical Center,Vancouver,98664,ALL,H-COMP-PSI-90,Patient Safety for Selected Indicators (composite measure),Score,Score,Overall,1.02,0.78,1.25,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Peacehealth Southwest Medical Center,Vancouver,98664,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.76,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Peacehealth Southwest Medical Center,Vancouver,98664,ALL,H-HSP-RATING,Overall Rating of Hospital,Score,Score,Overall,2.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Peacehealth St. John Medical Center,Longview,98632,ALL,H-COMP-D,Patient Experience with Hospital Care: Discharge Information,Score,Score,Overall,0.88,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Peacehealth St. John Medical Center,Longview,98632,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.55,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Peacehealth St. Joseph Medical Center,Bellingham,98225,ALL,H-COMP-D,Patient Experience with Hospital Care: Discharge Information,Score,Score,Overall,0.88,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Peacehealth St. Joseph Medical Center,Bellingham,98225,ALL,NTSV C-SECTION,Cesarean Birth,Visit Count,"Rate per 1,000 Member-Years",Overall,21.27,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Peacehealth United General Medical Center,Sedro Woolley,98284,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Pmh Medical Center,Prosser,99350,ALL,H-COMP-D,Patient Experience with Hospital Care: Discharge Information,Score,Score,Overall,0.91,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Summit Pacific Medical Center,Elma,98541,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,8.07,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Swedish Cherry Hill,Seattle,98122,ALL,H-COMP-PSI-90,Patient Safety for Selected Indicators (composite measure),Score,Score,Overall,1.24,1.0,1.48,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Swedish Cherry Hill,Seattle,98122,ALL,FALLS-I,Falls with Injury,Visit Count,"Rate per 1,000 Member-Years",Overall,0.35,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Swedish First Hill,Seattle,98122,ALL,H-COMP-PSI-90,Patient Safety for Selected Indicators (composite measure),Score,Score,Overall,0.96,0.78,1.13,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Swedish First Hill,Seattle,98122,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.77,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Swedish Issaquah,Issaquah,98029,ALL,FALLS-I,Falls with Injury,Visit Count,"Rate per 1,000 Member-Years",Overall,0.59,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Toppenish Community Hospital,Toppenish,98948,ALL,H-COMP-D,Patient Experience with Hospital Care: Discharge Information,Score,Score,Overall,0.87,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Trios Health,Kennewick,99336,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,1.41,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Tri-State Memorial Hospital,Clarkston,99403,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.82,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Uw Medicine - Northwest Hospital & Medical Center,Seattle,98133,ALL,H-COMP-D,Patient Experience with Hospital Care: Discharge Information,Score,Score,Overall,0.89,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Uw Medicine - Northwest Hospital & Medical Center,Seattle,98133,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.8,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Uw Medicine - University Of Washington Medical Center,Seattle,98195,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.83,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Uw Medicine - University Of Washington Medical Center,Seattle,98195,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,1.77,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Virginia Mason Medical Center,Seattle,98101,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.15,0.15,0.16,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Whidbeyhealth Medical Center,Coupeville,98239,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Whitman Hospital & Medical Center,Colfax,99111,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.82,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Providence Centralia Hospital,Centralia,98531,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Providence Holy Family Hospital,Spokane,99208,ALL,MORT-30-AMI,30-Day All-Cause Mortality Rate Following Acute Myocardial Infarction,Compliance,Percent Compliance,Overall,0.15,0.12,0.18,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Providence Mount Carmel Hospital,Colville,99114,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,3.54,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Providence Sacred Heart Medical Center & Children'S Hospital,Spokane,99204,ALL,FALLS-I,Falls with Injury,Visit Count,"Rate per 1,000 Member-Years",Overall,0.91,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Providence St. Peter Hospital,Olympia,98506,ALL,FALLS-I,Falls with Injury,Visit Count,"Rate per 1,000 Member-Years",Overall,0.5,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Pullman Regional Hospital,Pullman,99163,ALL,H-COMP-D,Patient Experience with Hospital Care: Discharge Information,Score,Score,Overall,0.93,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Skagit Valley Hospital,Mount Vernon,98274,ALL,CAUTI-ICU,Catheter-Associated Urinary Tract Infections within ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,St. Clare Hospital,Lakewood,98499,ALL,H-COMP-PSI-90,Patient Safety for Selected Indicators (composite measure),Score,Score,Overall,1.11,0.76,1.46,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,St. Clare Hospital,Lakewood,98499,ALL,FALLS-I,Falls with Injury,Visit Count,"Rate per 1,000 Member-Years",Overall,2.65,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,St. Francis Hospital,Federal Way,98003,ALL,CAUTI-OUT,Catheter-Associated Urinary Tract Infections outside ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.84,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,St. Joseph Medical Center,Tacoma,98405,ALL,CAUTI-ICU,Catheter-Associated Urinary Tract Infections within ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Highline Medical Center,Tukwila,98168,ALL,H-COMP-STK-4,Stroke Care: Thrombolytic Therapy,Compliance,Percent Compliance,Overall,0.94,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Highline Medical Center,Tukwila,98168,ALL,H-HSP-RATING,Overall Rating of Hospital,Score,Score,Overall,2.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Island Hospital,Anacortes,98221,ALL,CAUTI-ICU,Catheter-Associated Urinary Tract Infections within ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,0.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Jefferson Healthcare,Port Townsend,98368,ALL,CAUTI-ICU,Catheter-Associated Urinary Tract Infections within ICU,Visit Count,"Rate per 1,000 Member-Years",Overall,4.08,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Cascade Medical Center,Leavenworth,98826,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.16,0.14,0.17,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Kadlec Regional Medical Center,Richland,99352,ALL,H-HSP-RATING,Overall Rating of Hospital,Score,Score,Overall,3.0,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Cascade Valley Hospital And Clinics,Arlington,98223,ALL,H-COMP-M,Patient Experience with Hospital Care: Communication About Medicines,Score,Score,Overall,0.83,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Hospital,Grays Harbor Community Hospital,Aberdeen,98520,ALL,READM-30-HOSP-WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission (HWR),Readmission,Observed to Expected Ratio,Overall,0.16,0.15,0.17,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
