Survey Years,Sex,Age Group,Race and Hispanic Origin,Measure,Percent,Standard Error,Lower 95% CI Limit,Upper 95% CI Limit,Presentation Standard,Note1,Note2,Notea,Noteb
2001-2002,All,20-69,Hispanic,Untreated Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,20-69,Mexican American,Untreated Dental Caries in Permanent Teeth,32.5,1.4,29.4,35.8,,,,,
2003-2004,All,2-11,All,Total Dental Caries in Primary Teeth,45.6,2.3,40.6,50.7,,,,,
2003-2004,Male,2-11,All,Total Dental Caries in Primary Teeth,48.4,2.9,42.1,54.6,,,,,
2003-2004,Female,2-11,All,Total Dental Caries in Primary Teeth,42.6,2.8,36.6,48.8,,,,,
2003-2004,All,2-5,All,Total Dental Caries in Primary Teeth,29.4,2.3,24.5,34.7,,,,,
2003-2004,Male,2-5,All,Total Dental Caries in Primary Teeth,32.5,3.6,25.1,40.7,,,,,
2003-2004,Female,2-5,All,Total Dental Caries in Primary Teeth,26.2,2.7,20.5,32.6,,,,,
2003-2004,All,6-11,All,Total Dental Caries in Primary Teeth,56.8,3.2,49.7,63.7,,,,,
2003-2004,Male,6-11,All,Total Dental Caries in Primary Teeth,58.8,3.4,51.2,66.1,,,,,
2003-2004,Female,6-11,All,Total Dental Caries in Primary Teeth,54.5,4.5,44.6,64.2,,,,,
2003-2004,All,2-11,Non-Hispanic White,Total Dental Caries in Primary Teeth,40.9,3.4,33.5,48.6,,,,,
2003-2004,All,2-11,Non-Hispanic Black,Total Dental Caries in Primary Teeth,44.1,2.9,37.6,50.7,,,,,
2003-2004,All,2-11,Non-Hispanic Asian,Total Dental Caries in Primary Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2003-2004,All,2-11,Hispanic,Total Dental Caries in Primary Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2003-2004,All,2-11,Mexican American,Total Dental Caries in Primary Teeth,56.7,1.7,52.2,61.2,,,,,
2003-2004,All,6-19,All,Total Dental Caries in Permanent Teeth,44.4,1.7,40.7,48.2,,,,,
2003-2004,Male,6-19,All,Total Dental Caries in Permanent Teeth,40.8,1.8,36.9,44.7,,,,,
2003-2004,Female,6-19,All,Total Dental Caries in Permanent Teeth,48.1,2.0,43.7,52.4,,,,,
2003-2004,All,6-11,All,Total Dental Caries in Permanent Teeth,23.4,2.0,19.3,28.0,,,,,
2003-2004,Male,6-11,All,Total Dental Caries in Permanent Teeth,20.6,2.8,14.8,27.4,,,,,
2003-2004,Female,6-11,All,Total Dental Caries in Permanent Teeth,26.3,2.2,21.8,31.2,,,,,
2003-2004,All,12-19,All,Total Dental Caries in Permanent Teeth,59.5,2.1,54.8,64.0,,,,,
2003-2004,Male,12-19,All,Total Dental Caries in Permanent Teeth,55.2,2.5,49.8,60.5,,,,,
2003-2004,Female,12-19,All,Total Dental Caries in Permanent Teeth,63.9,2.4,58.4,69.1,,,,,
2003-2004,All,6-19,Non-Hispanic White,Total Dental Caries in Permanent Teeth,44.8,2.4,39.6,50.1,,,,,
2003-2004,All,6-19,Non-Hispanic Black,Total Dental Caries in Permanent Teeth,39.2,3.1,32.4,46.3,,,,,
2003-2004,All,6-19,Non-Hispanic Asian,Total Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2003-2004,All,6-19,Hispanic,Total Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2003-2004,All,6-19,Mexican American,Total Dental Caries in Permanent Teeth,50.6,1.7,47.0,54.2,,,,,
2003-2004,All,20-69,All,Total Dental Caries in Permanent Teeth,92.8,0.6,91.3,94.1,,,,,
2003-2004,Male,20-69,All,Total Dental Caries in Permanent Teeth,92.3,0.9,90.0,94.2,,,,,
2003-2004,Female,20-69,All,Total Dental Caries in Permanent Teeth,93.2,0.6,91.8,94.5,,,,,
2003-2004,All,20-29,All,Total Dental Caries in Permanent Teeth,85.3,1.6,81.6,88.5,,,,,
2003-2004,Male,20-29,All,Total Dental Caries in Permanent Teeth,86.5,1.8,82.2,90.1,,,,,
2003-2004,Female,20-29,All,Total Dental Caries in Permanent Teeth,84.0,2.5,77.9,89.0,,,,,
2003-2004,All,30-39,All,Total Dental Caries in Permanent Teeth,92.9,1.2,89.8,95.3,,,,,
2003-2004,Male,30-39,All,Total Dental Caries in Permanent Teeth,92.7,1.7,88.2,95.9,,,,,
2003-2004,Female,30-39,All,Total Dental Caries in Permanent Teeth,93.1,1.4,89.3,95.8,,,,,
2003-2004,All,40-49,All,Total Dental Caries in Permanent Teeth,95.2,0.8,93.1,96.8,,,,,
2003-2004,Male,40-49,All,Total Dental Caries in Permanent Teeth,92.9,1.6,88.8,95.9,,,,,
2003-2004,Female,40-49,All,Total Dental Caries in Permanent Teeth,97.3,0.7,94.9,98.8,,,,,
2003-2004,All,50-59,All,Total Dental Caries in Permanent Teeth,97.0,0.4,95.1,98.3,,,,,
2003-2004,Male,50-59,All,Total Dental Caries in Permanent Teeth,96.9,0.8,93.9,98.7,,,,,
2003-2004,Female,50-59,All,Total Dental Caries in Permanent Teeth,97.0,1.0,93.9,98.8,,,,,
2003-2004,All,60-69,All,Total Dental Caries in Permanent Teeth,94.5,1.1,91.6,96.6,,,,,
2003-2004,Male,60-69,All,Total Dental Caries in Permanent Teeth,94.1,1.5,90.1,96.8,,,,,
2003-2004,Female,60-69,All,Total Dental Caries in Permanent Teeth,94.8,1.7,89.9,97.8,,,,,
2003-2004,All,20-69,Non-Hispanic White,Total Dental Caries in Permanent Teeth,94.4,0.6,92.9,95.7,,,,,
2003-2004,All,20-69,Non-Hispanic Black,Total Dental Caries in Permanent Teeth,88.3,1.2,85.3,90.8,,,,,
2003-2004,All,20-69,Non-Hispanic Asian,Total Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2003-2004,All,20-69,Hispanic,Total Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2003-2004,All,20-69,Mexican American,Total Dental Caries in Permanent Teeth,84.0,3.0,76.3,90.0,,,,,
2003-2004,All,60 and over,All,Complete Tooth Loss,24.8,15.0,19.7,30.4,,,,,
2003-2004,Male,60 and over,All,Complete Tooth Loss,23.9,15.0,18.9,29.5,,,,,
2003-2004,Female,60 and over,All,Complete Tooth Loss,25.5,15.0,19.8,31.8,,,,,
2003-2004,All,60-69,All,Complete Tooth Loss,19.3,15.0,14.1,25.4,,,,,
2003-2004,Male,60-69,All,Complete Tooth Loss,20.8,15.0,15.7,26.6,,,,,
2003-2004,Female,60-69,All,Complete Tooth Loss,17.9,15.0,10.4,27.8,,,,,
2003-2004,All,70 and over,All,Complete Tooth Loss,29.6,15.0,22.1,37.9,,,,,
2003-2004,Male,70 and over,All,Complete Tooth Loss,27.0,15.0,20.0,34.9,,,,,
2003-2004,Female,70 and over,All,Complete Tooth Loss,31.4,15.0,23.2,40.7,,,,,
2003-2004,All,60 and over,Non-Hispanic White,Complete Tooth Loss,24.4,14.0,18.3,31.3,,,,,
2003-2004,All,60 and over,Non-Hispanic Black,Complete Tooth Loss,26.7,11.0,20.8,33.3,,,,,
2003-2004,All,60 and over,Non-Hispanic Asian,Complete Tooth Loss,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2003-2004,All,60 and over,Hispanic,Complete Tooth Loss,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2003-2004,All,60 and over,Mexican American,Complete Tooth Loss,19.5,5.0,14.4,25.5,Estimate does not meet National Center for Health Statistics standards of reliability,,,,
2003-2004,All,2-11,All,Untreated Dental Caries in Primary Teeth,27.5,2.0,23.4,32.0,,,,,
2003-2004,Male,2-11,All,Untreated Dental Caries in Primary Teeth,28.8,2.7,23.1,35.0,,,,,
2003-2004,Female,2-11,All,Untreated Dental Caries in Primary Teeth,26.1,2.5,21.0,31.9,,,,,
2003-2004,All,2-5,All,Untreated Dental Caries in Primary Teeth,23.4,2.2,18.7,28.5,,,,,
2003-2004,Male,2-5,All,Untreated Dental Caries in Primary Teeth,23.2,3.4,16.2,31.4,,,,,
2003-2004,Female,2-5,All,Untreated Dental Caries in Primary Teeth,23.6,2.5,18.5,29.3,,,,,
2003-2004,All,6-11,All,Untreated Dental Caries in Primary Teeth,30.4,2.6,24.9,36.3,,,,,
2003-2004,Male,6-11,All,Untreated Dental Caries in Primary Teeth,32.5,3.5,25.2,40.5,,,,,
2003-2004,Female,6-11,All,Untreated Dental Caries in Primary Teeth,28.0,3.9,19.9,37.4,,,,,
2003-2004,All,2-11,Non-Hispanic White,Untreated Dental Caries in Primary Teeth,23.2,2.6,17.7,29.4,,,,,
2003-2004,All,2-11,Non-Hispanic Black,Untreated Dental Caries in Primary Teeth,29.2,3.3,22.0,37.2,,,,,
2003-2004,All,2-11,Non-Hispanic Asian,Untreated Dental Caries in Primary Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2003-2004,All,2-11,Hispanic,Untreated Dental Caries in Primary Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2003-2004,All,2-11,Mexican American,Untreated Dental Caries in Primary Teeth,36.4,2.4,31.2,41.9,,,,,
2003-2004,All,6-19,All,Untreated Dental Caries in Permanent Teeth,15.9,1.5,12.7,19.4,,,,,
2003-2004,Male,6-19,All,Untreated Dental Caries in Permanent Teeth,14.9,1.3,12.3,17.8,,,,,
2003-2004,Female,6-19,All,Untreated Dental Caries in Permanent Teeth,16.9,2.1,12.5,21.9,,,,,
2003-2004,All,6-11,All,Untreated Dental Caries in Permanent Teeth,9.4,1.7,6.1,13.8,,,,,
2003-2004,Male,6-11,All,Untreated Dental Caries in Permanent Teeth,7.9,1.6,4.8,12.1,,,,,
2003-2004,Female,6-11,All,Untreated Dental Caries in Permanent Teeth,10.9,2.2,6.6,16.7,,,,,
2003-2004,All,12-19,All,Untreated Dental Caries in Permanent Teeth,20.5,2.0,16.4,25.1,,,,,
2003-2004,Male,12-19,All,Untreated Dental Caries in Permanent Teeth,19.8,1.8,16.0,24.1,,,,,
2003-2004,Female,12-19,All,Untreated Dental Caries in Permanent Teeth,21.2,2.7,15.6,27.7,,,,,
2003-2004,All,6-19,Non-Hispanic White,Untreated Dental Caries in Permanent Teeth,13.7,2.1,9.5,18.9,,,,,
2003-2004,All,6-19,Non-Hispanic Black,Untreated Dental Caries in Permanent Teeth,18.2,2.3,13.6,23.7,,,,,
2003-2004,All,6-19,Non-Hispanic Asian,Untreated Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2003-2004,All,6-19,Hispanic,Untreated Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2003-2004,All,6-19,Mexican American,Untreated Dental Caries in Permanent Teeth,20.9,2.4,15.9,26.8,,,,,
2003-2004,All,20-69,All,Untreated Dental Caries in Permanent Teeth,27.6,2.0,23.3,32.1,,,,,
2003-2004,Male,20-69,All,Untreated Dental Caries in Permanent Teeth,30.7,2.6,25.3,36.6,,,,,
2003-2004,Female,20-69,All,Untreated Dental Caries in Permanent Teeth,24.5,1.7,20.9,28.5,,,,,
2003-2004,All,20-29,All,Untreated Dental Caries in Permanent Teeth,32.8,2.6,27.2,38.7,,,,,
2003-2004,Male,20-29,All,Untreated Dental Caries in Permanent Teeth,37.8,3.1,31.1,44.8,,,,,
2003-2004,Female,20-29,All,Untreated Dental Caries in Permanent Teeth,27.6,2.9,21.5,34.3,,,,,
2003-2004,All,30-39,All,Untreated Dental Caries in Permanent Teeth,31.2,2.8,25.3,37.6,,,,,
2003-2004,Male,30-39,All,Untreated Dental Caries in Permanent Teeth,34.4,4.2,25.4,44.2,,,,,
2003-2004,Female,30-39,All,Untreated Dental Caries in Permanent Teeth,28.0,2.7,22.3,34.3,,,,,
2003-2004,All,40-49,All,Untreated Dental Caries in Permanent Teeth,27.8,3.2,21.2,35.2,,,,,
2003-2004,Male,40-49,All,Untreated Dental Caries in Permanent Teeth,32.0,4.4,22.8,42.4,,,,,
2003-2004,Female,40-49,All,Untreated Dental Caries in Permanent Teeth,23.8,2.8,18.0,30.4,,,,,
2003-2004,All,50-59,All,Untreated Dental Caries in Permanent Teeth,27.4,2.2,22.7,32.5,,,,,
2003-2004,Male,50-59,All,Untreated Dental Caries in Permanent Teeth,28.3,3.5,21.0,36.5,,,,,
2003-2004,Female,50-59,All,Untreated Dental Caries in Permanent Teeth,26.5,2.2,21.1,32.4,,,,,
2003-2004,All,60-69,All,Untreated Dental Caries in Permanent Teeth,17.2,1.9,13.3,21.7,,,,,
2003-2004,Male,60-69,All,Untreated Dental Caries in Permanent Teeth,17.2,2.5,12.3,23.1,,,,,
2003-2004,Female,60-69,All,Untreated Dental Caries in Permanent Teeth,17.2,2.9,11.4,24.5,,,,,
2003-2004,All,20-69,Non-Hispanic White,Untreated Dental Caries in Permanent Teeth,22.9,2.7,17.3,29.4,,,,,
2003-2004,All,20-69,Non-Hispanic Black,Untreated Dental Caries in Permanent Teeth,39.0,3.7,30.9,47.5,,,,,
2003-2004,All,20-69,Non-Hispanic Asian,Untreated Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2003-2004,All,20-69,Hispanic,Untreated Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2003-2004,All,20-69,Mexican American,Untreated Dental Caries in Permanent Teeth,44.2,5.4,32.3,56.6,,,,,
2005-2006,All,2-11,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Male,2-11,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Female,2-11,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,2-5,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Male,2-5,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Female,2-5,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,6-11,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Male,6-11,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Female,6-11,All,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,2-11,Non-Hispanic White,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,2-11,Non-Hispanic Black,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,2-11,Non-Hispanic Asian,Total Dental Caries in Primary Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2005-2006,All,2-11,Hispanic,Total Dental Caries in Primary Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2005-2006,All,2-11,Mexican American,Total Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,6-19,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Male,6-19,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Female,6-19,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,6-11,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Male,6-11,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Female,6-11,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,12-19,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Male,12-19,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Female,12-19,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,6-19,Non-Hispanic White,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,6-19,Non-Hispanic Black,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,6-19,Non-Hispanic Asian,Total Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2005-2006,All,6-19,Hispanic,Total Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2005-2006,All,6-19,Mexican American,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,20-69,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Male,20-69,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Female,20-69,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,20-29,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Male,20-29,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Female,20-29,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,30-39,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Male,30-39,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Female,30-39,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,40-49,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Male,40-49,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Female,40-49,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,50-59,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Male,50-59,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Female,50-59,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,60-69,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Male,60-69,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Female,60-69,All,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,20-69,Non-Hispanic White,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,20-69,Non-Hispanic Black,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,20-69,Non-Hispanic Asian,Total Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2005-2006,All,20-69,Hispanic,Total Dental Caries in Permanent Teeth,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2005-2006,All,20-69,Mexican American,Total Dental Caries in Permanent Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,60 and over,All,Complete Tooth Loss,19.6,15.0,15.8,23.8,,,,,
2005-2006,Male,60 and over,All,Complete Tooth Loss,16.7,15.0,12.8,21.2,,,,,
2005-2006,Female,60 and over,All,Complete Tooth Loss,22.0,15.0,17.9,26.5,,,,,
2005-2006,All,60-69,All,Complete Tooth Loss,13.3,15.0,7.3,21.5,,,,,
2005-2006,Male,60-69,All,Complete Tooth Loss,13.3,15.0,6.7,23.0,,,,,
2005-2006,Female,60-69,All,Complete Tooth Loss,13.2,15.0,6.7,22.6,,,,,
2005-2006,All,70 and over,All,Complete Tooth Loss,25.6,15.0,21.5,30.0,,,,,
2005-2006,Male,70 and over,All,Complete Tooth Loss,20.3,15.0,16.4,24.7,,,,,
2005-2006,Female,70 and over,All,Complete Tooth Loss,29.5,15.0,24.4,34.9,,,,,
2005-2006,All,60 and over,Non-Hispanic White,Complete Tooth Loss,18.8,15.0,14.7,23.5,,,,,
2005-2006,All,60 and over,Non-Hispanic Black,Complete Tooth Loss,26.0,13.0,19.0,34.0,,,,,
2005-2006,All,60 and over,Non-Hispanic Asian,Complete Tooth Loss,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2005-2006,All,60 and over,Hispanic,Complete Tooth Loss,,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,*,§
2005-2006,All,60 and over,Mexican American,Complete Tooth Loss,16.8,7.0,7.9,29.5,Estimate does not meet National Center for Health Statistics standards of reliability,,,,
2005-2006,All,2-11,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Male,2-11,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Female,2-11,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,2-5,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Male,2-5,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Female,2-5,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,6-11,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Male,6-11,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,Female,6-11,All,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
2005-2006,All,2-11,Non-Hispanic White,Untreated Dental Caries in Primary Teeth,,,,,,,Data of dental caries in permanent and primary teeth separately are not available for 2005-2006 through 2009-2010.,,§
