OBJECTID,SYSTEM,PARENTID,DEPARTMENT,DESCRIPTION,SYNTURF_Location,System_Type,Turf_Type,Infill_Material,JOP,Maint_By,Maint_By_Spec,Construction_Entity,Construction_Entity_Spec,Contract_Type,Contract_Number,Commission_Date,RETIRED,Borough,Shape
178,X272-SYNTURF-0031,X272,X-01,Ranaqua Park,Brown Place and E 136th Street,Play Area,Non-Infill,Not Applicable,false,DPR,NULL,DPR,NULL,Capital,X272-115M,12/01/2017,False,X,0xD708000001040500000080E5C99FFBB02E410068CE21C9780C4100CBAC36ABB02E4100E850BD84760C41807AA6AC89B12E41000A519D97740C4180949815DAB12E41008ACE01DC760C4180E5C99FFBB02E410068CE21C9780C4101000000020000000001000000FFFFFFFF0000000003
70,M107-SYNTURF-0024,M107,M-11R,"Wards Island - Fields 70, 72, 73, 74, 75",Wards Meadow Loop,Field Group,Infill,Rubber Crumb,false,Other,Randall's Island Park Alliance,Unknown,NULL,Unknown,NULL,06/01/2009,False,M,0xD70800000104950000008083A468D2A52E4100BAC1823A580B4100DDEF5766A62E4100FC14B9FD580B4100F4E19283A62E4100C04DAE33590B4180BB6A6E9FA62E41006E573774590B41004765ADB9A62E4100EAC3C7BE590B41804072B5D1A62E41008C619B085A0B418026FDA6E7A62E4100EC80305C5A0B410004DD42FBA62E41006CEE97B85A0B4180FFCB500CA72E41000A96C71C5B0B4100D110CA23A72E4100440D8B955B0B41800F6C793EA72E410036D11E035C0B418072340A5CA72E41009A7C25645C0B41808F831E7CA72E4100CAFE6BB75C0B4100DC8D509EA72E4100C4EFE8FB5C0B4100B5CF33C2A72E410042F4C3305D0B4100600F56E7A72E4100BC1155555D0B418016B7410DA82E41006C5E27695D0B4180287FFC22A82E41000E62296C5D0B4100AC4E5038A82E41008C8F167D5D0B41007C34AF4CA82E41002E057E9B5D0B41808DF7915FA82E4100EADB96C65D0B4100FAF17A70A82E41006E2B42FD5D0B41800FEEF97EA82E41003A1E153E5E0B41005980AE8AA82E4100CAA95F875E0B4100A9B74A93A82E4100C4023CD75E0B410024CD9598A82E410020AD962B5F0B41803F246C9AA82E410068F43F825F0B4100CECFC198A82E4100E857F7D85F0B4100FABAA193A82E4100EA567C2D600B410032C441A9A72E41005EE05150660B41001E26D639A72E4100C20D0248650B4100C6FE2B28A72E41003428371D650B41004A80EB14A72E41008A0C52FF640B4180EBFFA900A72E4100488A3AEF640B41800A8D04ECA62E4100509B6DED640B418011129BD7A62E4100DA5BF9F9640B418064CB0BC4A62E41006AB27B14650B41804F93EEB1A62E4100E8AF273C650B4180F1D7CFA1A62E4100AA97C96F650B41002D682C94A62E4100AA9FD1AD650B4180E4B36686A62E41002E0E6626660B4180D4A5C97BA62E41001280FCA3660B41806AA17174A62E41003AFC4225670B4100F5A37270A62E410062C9DCA8670B41806D540A68A62E4100FC7F9962680B41004568135BA62E41002E661818690B4100FACBAE49A62E41000CE98FC7690B418035010834A62E4100EE41476F6A0B4100591AE708A62E4100E6EBA9416B0B41006C6AE1D9A52E410078FC3E066C0B41007E283DA7A52E410030D3E0BB6C0B41005CD5929BA52E410092EC48196D0B4180971DE193A52E410098160F7D6D0B4180FCEA5C90A52E4100E4F685E46D0B4100EA981E91A52E4100B0A6E44C6E0B41804AC72096A52E4100268B5DB36E0B41809906419FA52E4100A07930156F0B4100E4AE40ACA52E4100F2DBBC6F6F0B4180CF37C6BCA52E4100B42893C06F0B4180A51360D0A52E41007CB38705700B41005C8A87E6A52E410024C9C03C700B4100D94D55FBA52E4100A24E0558700B4180CE64F70EA62E410084C4C27E700B4100B85B0921A62E4100C84732B0700B41002F792E31A62E41009C3457EB700B4180F2EC133FA62E4100662A012F710B4100D1F6EE4AA62E410020057483710B4100DD863753A62E41003AFD75DE710B41803FD8B557A62E41007249A23D720B410082584B58A62E41000C38759E720B41809680F454A62E41002E5B62FE720B4180D37CC74DA62E410010A5E25A730B4180F3ADF442A62E4100448C86B1730B4180127CC534A62E4100F4D30400740B4100A2509923A62E41001E044C44740B418061E8E30FA62E4100CED98F7C740B4180A12C6FF8A52E4100CA25BABE740B41809B99F9E2A52E4100C4ECF70A750B41005A39C8CFA52E410008475560750B4180014EBCC1A52E4100487A75C5750B41802858EBB6A52E41006201C030760B4100740280AFA52E4100FC3D90A0760B4180FF0517AEA52E410004C9DAED760B410007E771A9A52E41001A381739770B41000D69B2A1A52E4100E8921E80770B4100EE7D1197A52E41009675E9C0770B4100D6C0DC89A52E4100F8809DF9770B4100FBBC447EA52E41004AE8D323780B4180214F6271A52E4100885A8F47780B418029406F63A52E410048412F64780B418003E2A954A52E410098F23379780B4180A6313A33A52E410078302988780B41008AF39811A52E41000C8D2C84780B4180AC253104A52E410082C9F479780B418020B562F7A42E410084101767780B41803D7E86EBA42E41000ABC154C780B4180404FEEE0A42E4100EAEEAC29780B418045BBE3D7A42E4100B62CC900780B4100D1821AB4A42E410006D01176770B4180DFD5168DA42E41003E300FFA760B4180E4F43863A42E4100FAB1F38D760B4180231A5F47A42E41008C3DE051760B41803C67EE29A42E410010267C23760B4180CE07520BA42E41000C0E6E03760B4180862FF9EBA32E410048372CF2750B4100169353CCA32E410066CB49D6750B41006269E7ADA32E4100AC32A5A9750B41008DCC4191A32E4100420C0E6D750B4180989BE776A32E410060349D21750B41805FA1535FA32E41005C14B2C8740B4100890DF34AA32E41006C8EE863740B41009F34B03AA32E4100BE6D2815740B410070B7C527A32E41004C948CD0730B41007FDE9712A32E41008E7F7E97730B41007D5E96FBA22E4100148C2C6B730B4180A4B0D3EAA22E4100EE2F5252730B418021C02FDBA22E410004A6B52F730B410051C104CDA22E41005CD11D04730B41806F82A4C0A22E4100C2A986D0720B4180919256B6A22E4100BA831A96720B418069F416A4A32E4100FC5AEE076C0B418062ED0F6EA32E4100A08827886B0B410024D65FCDA32E4100A07243BE680B41805A783692A12E4100A483CA87630B4180E322BDF9A12E4100C2924A84600B41801123FCE8A12E410094188B5F600B410013C49356A22E410064F69E775D0B41800BA28473A22E410014A7F77C5D0B4180D2947F8BA22E41000E2988235D0B4180AA61D2A5A22E4100907E58D55C0B41804E0B29C2A22E41005C9B62935C0B4180603229E0A22E4100A87A795E5C0B41806DEC72FFA22E4100FCC245375C0B4100FA75CF24A32E41004C5EB9EE5B0B4100267CBF47A32E4100CCC6E7945B0B410005D6C367A32E41006A89172B5B0B4180D4EF6784A32E4100F853CAB25A0B410002CF439DA32E41001891B52D5A0B41802EBEFCB1A32E410016B4BD9D590B4100365147C2A32E4100E028EE04590B4180001229D7A32E41008A1838D3580B4180D0294BE4A32E4100BEF29A35580B4100A31015F6A32E4100E66D799F570B4100786C440CA42E41007E420513570B41000E178626A42E410072884A92560B4100EA4C7844A42E410008572A1F560B41005AD8AA65A42E4100BC0852BB550B410080ECA189A42E410038DF3768550B418083A468D2A52E4100BAC1823A580B4101000000020000000001000000FFFFFFFF0000000003
38,B125-SYNTURF-0029,B125,B-13,Calvert Vaux  Soccer-02,Shore Parkway and Bay 44th Street,Field Group,Non-Infill,Not Applicable,false,DPR,NULL,DPR,NULL,Capital,B125-108M PLANYC,10/10/2013,False,B,0xD70800000104090000008092596C0A1A2E410048A890C29E024180A5AAD190182E4100D806BBB7A802418089D0B1CB162E410022EBE56FA402410050151740182E4100F0343B879A024100940FD76B182E4100127C90F39A02410071052767182E410046213B1D9B0241005A543CE0192E4100F402BB949E024100AA537CE5192E4100FEB13A6E9E02418092596C0A1A2E410048A890C29E024101000000020000000001000000FFFFFFFF0000000003
127,R105-SYNTURF-0007,R105,R-01,Prall Playground,Forest Avenue and Elizabeth Street,Field Group,Non-Infill,Not Applicable,true,DPR,NULL,DPR,NULL,Capital,CNYG-1508M PLANYC,12/07/2010,False,R,0xD7080000010424000000008F684CFA072D41003233B8A68B04410086CA9857082D4100C85681D9890441007384B772082D4100783AA43B8A04410097500983082D41002A2796F7890441003F74B082082D41002A2796F78904410097500983082D4100408D72E38904410023D20CAD082D4100C2CFDC2589044180322722AF082D410070D607F88804418074D060A5082D410066AAEFD688044100E9BA57BF082D410016E3035A8804410031159DEB082D41000663EE57880441008A9C2208092D4100D6DB5BBA8804418099C13402092D41006A059DD4880441803EB05601092D4100DCFE9C068904410017AA79020A2D4100C61D667D8C044180BB8766E4092D410026A2D9E38C0441808824C8C3092D4100FE2EFB3C8D044180E991FCA0092D41006C18CA878D04418061C2677C092D41002EAF6EC38D044100E1937854092D410042D930E98D0441808596CC2B092D41009CC5FDFE8D044100DBEBC902092D4100685FA0048E0441806CE0D6D9082D4100703209FA8D044180C7EB59B1082D4100181F53DF8D0441807258B889082D41006456C1B48D044100EF6C5563082D4100F4ADBE7A8D044100AF13913E082D4100F2EFDA318D044180698EB726082D4100BE7A71F18C04418042087310082D4100A20487A88C044100F60CF4FB072D410008CCBA578C04410081C7BBF8072D41008038EF3B8C04410073C8A6F6072D41007046741E8C044180FF7FC2F5072D4100B8C406008C0441803DA414F6072D41004E926BE18B04418024319BF7072D4100283666C38B0441008F684CFA072D41003233B8A68B044101000000020000000001000000FFFFFFFF0000000003
184,X044-SYNTURF-0008,X044,X-07,St. James Park,Jerome Avenue and E 193 Street,Field Group,Non-Infill,Not Applicable,false,DPR,NULL,DPR,NULL,Capital,XG-114M,09/21/2015,False,X,0xD708000001040500000080A675718EE62E4100D6970C22160F4100395260DFE72E4100A4E98327130F4100F45C6D55E82E41009E561B6A160F410061557E04E72E4100D004A464190F4180A675718EE62E4100D6970C22160F4101000000020000000001000000FFFFFFFF0000000003
44,B166D-SYNTURF-0039,B166D,B-18,Joseph T. McGuire Fields Softball,Bergen Avenue and Avenue X,Field Group,Infill,Rubber Crumb,false,DPR,NULL,DPR,NULL,Capital,B166-194/494,10/03/2002,False,B,0xD708000001041100000000611BFCC7E42E4100CA8C11DC15044100D119BE3AE62E41005E6A0E040F044180B9B2FA8EE62E4100D4E80A2210044180B099F2D2E62E41000E7900DD1204410037372DE5E62E4100FE61D58713044180DDA992FBE62E4100D20B6BDB140441007075B8FBE62E4100DC53164B150441009E74F801E72E41009C42AB1117044180635528FAE62E410074CA80201804418036AEE6C5E62E4100C272C3331C0441808BFBC882E62E4100F66AB4181E044180B6F30481E62E41007E78E5121E044180FF6545A9E52E410074A2214D1B0441001BF8F8A6E52E4100302D91451B0441001F7E2AE2E52E41005CDFAC251A0441005F5A46C9E42E410062B7318316044100611BFCC7E42E4100CA8C11DC15044101000000020000000001000000FFFFFFFF0000000003
101,Q099-SYNTURF-0012,Q099,Q-15,"FMCP Soccer-08, Soccer-09",Fowler Avenue,Field Group,Infill,Rounded Sand,false,DPR,NULL,Unknown,NULL,Unknown,NULL,01/01/1899,False,Q,0xD708000001042700000000FFC56B0E722F410026F83395ED09410032C3F6CC722F4100024C3B11EE094100777D14D6722F41009E11F41AEE094100C25CAFDE722F410078556C2AEE09418034198EE6722F4100FA453B3FEE094100041F7CED722F41000E25D758EE0941007D114BF3722F41001CF09376EE0941000923D4F7722F41002270AB97EE09410033ECF8FA722F4100CAE93FBBEE094100A96DA4FC722F41007E2D64E0EE0941804091CBFC722F41007A9F1F06EF094100AFCAF9C1722F4100ACA46772FD0941006931DEDB712F4100CA791EE7FC09410086FC83DF712F4100180C5D44FC09418096B21D83702F41001C75D975FB0941005ABDE27D702F4100A2BA300DFC094100B87AEF696F2F410034195565FB094180CA4F95216F2F4100D4D153E6FA094100AC58E5D36F2F41003A5BCF60F1094180B92D7DFC6F2F410044C23E49ED094100E05F56FE6F2F41009EF75623ED094100FF7CBA01702F4100BAAB2EFFEC094180B9D59106702F41007286C4DDEC0941808C25BA0C702F41005A0B05C0EC094180CEEA0714702F4100A235C3A6EC094180B768471C702F4100F867B092EC09410067803E25702F410082685A84EC094100E8DDAD2E702F4100C858277CEC09418037A65238702F4100AC01517AEC0941804FFCE841702F41005E7BE37EEC094180CC0AD201712F41005C2D44F5EC0941808E32D0FB702F41000CABE293ED094180725AA009722F4100145F4738EE094100FFC56B0E722F410026F83395ED0941800BD02FB7702F4100A6D4EFCEF40941008FD217C3712F41006C784C74F509418075DCB2CE712F4100E8349529F4094180650822C2702F4100EA16A683F30941800BD02FB7702F4100A6D4EFCEF40941020000000200000000002200000001000000FFFFFFFF0000000003
8,B103-SYNTURF-0022,B103,B-05,Cypress Hills Playground,Euclid Avenue and Blake Avenue,Field Group,Unknown,Unknown,false,DPR,NULL,DPR,NULL,Capital,B103-116M,01/01/1899,True,B,0xD708000001040900000000939947EA1D2F410054A34CF26D064100390EABD21D2F4100785FF76C6D064100AC32AB041E2F41009877694D69064100939947EA1D2F41001EECA1316906410093988E5D1E2F4100946DA235600641806EDD9C6F1E2F41001CABBE0E60064180877F80D5202F41009469BE026206410074F89C31202F410060FA139E6F064100939947EA1D2F410054A34CF26D064101000000020000000001000000FFFFFFFF0000000003
65,M037-SYNTURF-0009,M037,M-12A,Highbridge Park,W 193rd Street and Fort George Avenue,Field Group,Infill,Rubber Crumb,false,DPR,NULL,DPR,NULL,Capital,M037-206M,11/19/2007,False,M,0xD7080000010415000000800E54BE1AAC2E4100D8FCDFD5BB0E4100C9467A42AC2E41004C708160BA0E4100E68D3567AC2E4100D81C3FE6B80E410040C1E688AC2E4100FA1F7D67B70E410022BFD08EAC2E4100642F0020B70E410010BCFA9BAC2E41001E600A46B60E41001AFEC6A4AC2E4100543F9668B50E4100083E27A9AC2E4100729A0A89B40E41007774224DAD2E4100EAE90DE9B40E41800A8C6D42AD2E4100B0A47E12B60E41003DEA3360AD2E4100B2D69A43B60E4180C8CFBD7BAD2E41002CC16986B60E410026EE6394AD2E4100FAE154D9B60E418013F090A9AD2E4100884D663AB70E4180D0272B90AD2E41003A714B3BBC0E410018B73070AD2E4100AA177BA8BC0E4100E9B9EE3BAD2E4100B8D831B6BC0E41805B369407AD2E41008010F8B0BC0E410017B28ED3AC2E41002E2BD998BC0E4180C0064BA0AC2E41008839086EBC0E41800E54BE1AAC2E4100D8FCDFD5BB0E4101000000020000000001000000FFFFFFFF0000000003
122,R017-SYNTURF-0001,R017,R-02,Owl's Hollow field 1,Arthur Kill Road and Arden Avenue,Field Group,Infill,EPDM,false,DPR,NULL,DPR,NULL,Capital,RG-12450-506M,07/31/2013,False,R,0xD7080000010405000000008A9F171D5F2C41005E99B4CC96014100AC339C805D2C410090B598268F0141807340C8C35F2C4100BEA6917B870141003C7FC260612C41005682D4278F0141008A9F171D5F2C41005E99B4CC96014101000000020000000001000000FFFFFFFF0000000003
179,B236-SYNTURF-0048,B236,B-18,Glenwood Playground,Ralph Avenue and Farragut Road,Play Area,Infill,Coated Sand,false,DPR,NULL,DPR,NULL,Capital,B236-114M,04/10/2017,False,B,0xD7080000010407000000009B0C0DD3B62E4100049831A0E9044100C56B50BBB62E410002E42862E90441005F9264C8B62E4100361E1612E9044180F16D821BB72E410068F53515E7044100CC3C8DF3B72E4100C685CD49E90441809F3A5B93B72E41006274C096EB0441009B0C0DD3B62E4100049831A0E9044101000000020000000001000000FFFFFFFF0000000003
59,BT15-SYNTURF-0068,BT15,B-07,"Bush Terminal Soccer-02, Softball 02 and 03",1st Avenue and 47th Street,Field Group,Non-Infill,Not Applicable,false,DPR,NULL,EDC,NULL,Unknown,NULL,11/01/2014,False,B,0xD708000001040700000080159FD860DE2D410088BBD4F6980541804417871FE02D4100C2D29DC8A1054180AC6742B5DE2D4100AABA063FA60541008B4C328EDE2D4100C8E0ED2BA60541800B2697CCDC2D4100F658175D9D0541802AA0D639DE2D4100041F05E298054180159FD860DE2D410088BBD4F698054101000000020000000001000000FFFFFFFF0000000003
39,B125-SYNTURF-0030,B125,B-13,Calvert Vaux  Soccer-01,Shore Parkway and Bay 44th Street,Field Group,Non-Infill,Not Applicable,false,DPR,NULL,DPR,NULL,Capital,B125-108M PLANYC,10/10/2013,False,B,0xD708000001043F000000009E9170E4192E41003C16456CAB0241004D3BADB8192E41003E0833C2AA0241803E5C658A192E4100E0AC2523AA0241801D4DC559192E41007636B68FA90241809FC0FB26192E41001EBF7108A9024100E1FA421E192E4100E270F3EBA80241802CA5D716192E4100C80511CAA80241004D28EE10192E41007609BBA3A8024180E482B00C192E410006F0007AA802410068C63C0A192E4100F05D0A4EA80241001A40A409192E4100EAC30F21A80241800B4EEB0A192E4100C4F24EF4A702410019DE080E192E41004CBB05C9A70241800AEA8F1E192E41002E6DD53AA7024100176FFE32192E410068D701B5A60241803DE8114B192E4100A0BC4139A60241804B627B66192E4100EEEE28C9A50241006BEB178F192E41008C431AEDA4024180CA7FE4B3192E41009E4F9106A4024100C29DB5D4192E410038D79A16A3024180BD2365F1192E41009A62501EA20241809469F3FB192E4100E4453888A10241003F0CDB0A1A2E41007C8825F8A0024100EFCBE61D1A2E410026DA1A70A00241009ECBD2341A2E41003A06FEF19F0241000F3D4D4F1A2E4100828F907F9F024100E385B25C1A2E41000C486A589F0241802EA2816B1A2E41004ECC7F3A9F0241806B9D557B1A2E41005A079C269F024100F89FC28B1A2E4100420B481D9F02418024CA589C1A2E4100FA54C21E9F02418039E4A6AC1A2E41005AD0002B9F0241008C3B3EBC1A2E41001E2CB0419F024180D429A4FB1A2E410012C32DB49F02410029003E391B2E41001A836B35A0024180B5FBD4741B2E41006E82F4C4A0024100AD0734AE1B2E4100266F4A62A102418048E827E51B2E410024DBE00CA2024100CD1180191C2E41001CEC1FC4A20241808F10D51D1C2E410080AC2CE1A2024180CB8DFE201C2E4100E2118C00A3024100350DE9221C2E41005A9D7E21A30241809FF788231C2E4100DC0F3A43A3024180FC6FDA221C2E41004E7AF164A30241805BA9E1201C2E41009295D685A3024180EBBBAA1D1C2E41009ECE1FA5A3024180940C50EF1B2E4100142435ECA40241804EF8EFE51B2E41006CA74AD5A4024100D9BD43FF1A2E4100DC60E2F0AA024180F9A8B9041B2E41007887CBF8AA024180963753D51A2E410020338C43AC024180B04B5CC61A2E4100DAEF6D77AC0241802D706DB51A2E4100C4BA80A0AC024100EB4602A31A2E41005A3F9ABDAC024100F006A18F1A2E410062D2E4CDAC0241806020D77B1A2E410014DEEAD0AC0241006ADE34681A2E41001A8A95C6AC024100375F49551A2E4100941730AFAC0241001843E43A1A2E4100FCDC3A87AC024100D48202221A2E4100E806F751AC02410006730E0B1A2E4100CA5C4810AC0241802C046BF6192E4100E6BE49C3AB0241009E9170E4192E41003C16456CAB024101000000020000000001000000FFFFFFFF0000000003
96,Q026-SYNTURF-0006,Q026,Q-04,Park Of The Americas,104th Street and 41st Avenue,Field Group,Infill,Rubber Crumb,false,DPR,NULL,DPR,NULL,Capital,Q026-103M,05/10/2004,False,Q,0xD708000001040E00000080B2FC9F78332F41009EA7A6D2DF0941009BFC3CEF332F41005E0B9445DE0941007522E6FC332F4100D819C319DE094180C3483A0C342F4100E26AE9F7DD094100CAB4C61C342F41004E4E04E1DD094100A7ED0E2E342F4100B6C6BFD5DD0941806445913F342F4100627D70D6DD0941000760CA50342F41003EBE11E3DD0941009AE53861342F4100DC1F44FBDD094100596D5D0F352F4100F867D01DDF094100003D7EA3342F41008259688DE3094100EAB4377D342F4100A07B7EDBE309418046E42547332F4100E01355ECE1094180B2FC9F78332F41009EA7A6D2DF094101000000020000000001000000FFFFFFFF0000000003
103,Q102-SYNTURF-0019,Q102,Q-05,Juniper Valley Park,Juniper Boulevard N and Lutheran Avenue,Field Group,Infill,Rubber Crumb,false,DPR,NULL,DPR,NULL,Capital,Q102-102M,07/31/2003,False,Q,0xD708000001042300000080BBF05E11032F41006E5323F1940841004E3E711E032F4100C893667C94084100D6A4E52F032F4100209D391194084100ADF44E45032F41008E5138B293084180CECD275E032F41000CFEB36193084100E324D579032F410028E2A121930841004F4BAA97032F4100F61F93F392084100424DEDB6032F4100CAF3A5D892084180C8CEDAD6032F41002A5882D192084180E1ECABF6032F4100C85155DE920841008CEF9915042F41006EEBCEFE92084180DDFFE332042F4100083A2432930841001486D34D042F4100C468157793084180A45CC065042F41001EC5F3CB930841800C62047A042F41007801432E94084180A841758A042F4100B88F669B94084180169AB796042F4100BAB60111950841807A77DA28052F4100AA1638B49F08418019740329052F4100B25BB835A0084180D3B5CE24052F41007E7020B6A0084180F4B84F1C052F4100F8F71633A108410027B84479042F41003C282D15A10841002063EF76042F410018A490C6A008410068725F54042F41009AB89CE2A00841801D88EA57042F4100E84D6C2EA1084100F59A2AC8032F4100C4279756A2084100E6D059B7032F410010F04B0EA20841007ADB48A9032F41001C5A26BDA1084100CD22419E032F4100540CCF64A1084180BE447C96032F4100B4F91407A1084100E2FECF06032F4100184B8D6E960841806B1FA004032F41004619EE0D960841007FBAAD05032F410046F600AD9508418007C6F309032F4100CC58814D95084180BBF05E11032F41006E5323F194084101000000020000000001000000FFFFFFFF0000000003
160,B246-SYNTURF-0050,B246,B-05,Jerome Playground,Wortman Avenue and Jerome Street,Play Area,Non-Infill,Not Applicable,true,DPR,NULL,Unknown,NULL,Unknown,NULL,01/01/1899,False,B,0xD708000001042600000000F2D3C1B70D2F410086DC097FE5054180D09B65B50D2F4100C484DD77E5054180F3605DB30D2F41005CEB3A6FE50541809395B7B10D2F41003AE15F65E5054100DDA57FB00D2F41006843905AE5054100F022BEAF0D2F41000C57194FE5054100E39778AF0D2F41005C654A43E5054180BB87B0AF0D2F41009E6B7737E505410075C564B00D2F41000C63F22BE5054180FB4690B10D2F4100E4440D21E5054100EEE4B5C50D2F410038E8FF8BE4054100AD3674C70D2F4100BA324F82E4054100CDE98DC90D2F4100E891D379E40541001D0FF6CB0D2F41009672C372E405418060329DCE0D2F41006A814A6DE405418057B272D10D2F4100ECAE8B69E4054180BDEB64D40D2F4100787F9E67E40541004A0E61D70D2F41003C0B8F67E4054100B44954DA0D2F41003AFE5D69E4054180B44E2CDD0D2F41004640FF6CE4054180CE40574C0E2F41006EF6695DE505410075E8D54E0E2F4100DCA31667E505418077E1E7500E2F41000A9F3F72E5054180A0657F520E2F4100D8FE9A7EE5054180C45E91530E2F4100021AD48BE5054180C8BE16540E2F41002A939199E50541809EFE0B540E2F4100F05C77A7E5054100497471530E2F4100E46527B5E5054180E58ED23B0E2F41008CE99E5EE60541802C334F390E2F41002A789167E60541002EAF77360E2F41000488C46EE605418032D35E330E2F41005E0C0774E60541808CF419300E2F4100AE683577E6054180923FBF2C0E2F41009E1C3A78E60541809A3665290E2F410014C40D77E6054100FEB122260E2F4100301BB973E605410012DE0D230E2F41004A4E526EE6054100F2D3C1B70D2F410086DC097FE5054101000000020000000001000000FFFFFFFF0000000003
20,Q099-SYNTURF-0017,Q099,Q-15,Flushing Meadows Corona Park,Path of Research,Field Group,Unknown,Unknown,false,DPR,NULL,DPR,NULL,Capital,Q099-101M,04/26/2002,True,Q,0xD708000001040500000080230970736C2F41002029017FE6094180ED4FEC616B2F4100E0533837F0094180633285EB692F41001C28A2A2ED09410083A83CFC6A2F410034DC2FECE3094180230970736C2F41002029017FE6094101000000020000000001000000FFFFFFFF0000000003
77,M144-SYNTURF-0028,M144,M-03,"East River Park - Softball (2), Soccer",FDR Drive and Grand Street,Field Group,Infill,Rubber Crumb,false,DPR,NULL,DPR,NULL,Capital,M144-100M,10/18/2002,False,M,0xD708000001042E00000080E8C7C9D0392E410072FD82FF4008410086CBB5C9392E410010ED7286400841005BAC90C6392E41008446C20A40084180995967C7392E4100ACC5798E3F08418035A236CC392E410072D6A4133F084180DF32EAD4392E4100A884499C3E084100FE21CDDF392E410092CF650F3E084180D6E444EF392E4100AE298A893D08418058440B033A2E41002EFC150D3D084100298DC61A3A2E410094033D9C3C084100A93D0B363A2E41009E3FFF383C084180F9B35D543A2E41001ADF1EE53B084180053234753A2E4100CA2F18A23B0841808DE3F9973A2E410042921B713B084100303811BC3A2E4100E0C106533B0841007368D6E03A2E4100B22462483B084100D17BA2053B2E4100761B5E513B084100C5FACE293B2E41008C55D26D3B084180D371B74C3B2E410000253D9D3B08410099CFBD6D3B2E41009286C7DE3B0841804B0D49883B2E410008F3033E3C084100D7BA76A03B2E41009EE4D8A63C084180643E0FB63B2E4100BAD357183D08418079CB58E43B2E410028EAF6493E084100D4EA150F3C2E41002650BE833F0841001CEF2F363C2E4100265F05C54008418000D991593C2E410094C0200D42084180365728793C2E4100BE115F5B430841806AE649C03C2E4100747C465D46084180CBB384AD3C2E4100F0C46E9B460841005DF4A39D3C2E4100FCEE5DE546084100E2101C913C2E4100686AF63847084100BE1649883C2E4100EABDD09347084180ECDC6B833C2E41006E0B53F347084180F72AA8823C2E41005A2CBF5448084100692917893B2E4100089765FF49084100B6E4F37A3B2E4100A2E7B08949084100F1D9510A3B2E41001089B7364A084180C2E7ABE83A2E4100181AFCF94908418081C4ECBC3A2E4100709FCC3E480841004F66269F3A2E4100200DB16B48084180B89AFD703A2E410040B9128E46084180F668624D3A2E410038BFA82245084180A166C9263A2E41003C9C2ABC43084180E3533DFD392E4100D019FD5A42084180E8C7C9D0392E410072FD82FF40084101000000020000000001000000FFFFFFFF0000000003
134,X034-SYNTURF-0006,X034,X-04,Mullaly Park,Jerome Avenue and West 166th Street,Field Group,Infill,Rubber Crumb,false,DPR,NULL,DPR,NULL,Capital,X034-107M,05/23/2008,False,X,0xD708000001041600000000BEAD8065AD2E410000F03C8CAF0D41000D682BEEAC2E4100B851F6EEAA0D41002D74F1EDAC2E41006011ABE8AA0D4100575FFCEDAC2E4100C4044FE2AA0D41008BFE4BEEAC2E4100A48C12DCAA0D4180C022DEEEAC2E4100ACAD22D6AA0D4180E66DAEEFAC2E410086C0ABD0AA0D4180E5D3B6F0AC2E4100D215D6CBAA0D4100A0C5EFF1AC2E4100184AC5C7AA0D4180F45B50F3AC2E4100CAED96C4AA0D4180E2E78CAAAD2E41007E1BC48BA90D41008A82B724AE2E410080BCB628AE0D4100F96A1625AE2E4100FC09332CAE0D4180D2B04E25AE2E41003CBCE12FAE0D410012FC5E25AE2E4100DC4AA933AE0D4180B3A04625AE2E41006E7D6D37AE0D4180BB750625AE2E410090CB143BAE0D41003054A024AE2E4100D8A8833EAE0D41801CEC1624AE2E4100EC90A241AE0D41808F1A6E23AE2E41006EFF5944AE0D41809BBEAA22AE2E41001AD09746AE0D4100BEAD8065AD2E410000F03C8CAF0D4101000000020000000001000000FFFFFFFF0000000003
