YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,%PovertyLevel,Age(years),BirthOrder,Education,Gender,MaritalStatus,Metropolitan,Race/Ethnicity,WICParticipation,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2000,2000,AZ,Arizona,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,78.6,78.6,,,69.4,85.6,342,Total,,,,,,,,,,"(34.865970280000454, -111.76381127699972)",BF,BF1,Q006,VALUE,04,Total,Total,OVR,OVERALL
2011,2011,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,16.5,16.5,,,14.3,18.9,3776,,,,,Some college or technical school,,,,,,,BF,BF1,Q008,VALUE,59,Education,Some college or technical school,EDU,EDUCOTEC
2015,2015,TN,Tennessee,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,36.9,36.9,,,28.4,46.4,176,Total,,,,,,,,,,"(35.68094058000048, -85.77449091399967)",BF,BF1,Q001,VALUE,47,Total,Total,OVR,OVERALL
2012,2012,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,25.2,25.2,,,23.3,27.3,6160,,,,,,,,,Non-Hispanic White,,,BF,BF1,Q001,VALUE,59,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2016,2016,HI,Hawaii,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,88.9,88.9,,,83.3,92.8,283,Total,,,,,,,,,,"(21.304850435000446, -157.85774940299973)",BF,BF1,Q006,VALUE,15,Total,Total,OVR,OVERALL
2007,2007,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,25.7,25.7,,,24.2,27.3,9846,,,,,,,,,,Yes,,BF,BF1,Q007,VALUE,59,WIC Participation,Yes,WIC,WICYES
2012,2012,OK,Oklahoma,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,18.9,18.9,,,13.4,25.8,258,Total,,,,,,,,,,"(35.47203135600046, -97.52107021399968)",BF,BF1,Q008,VALUE,40,Total,Total,OVR,OVERALL
2006,2006,TN,Tennessee,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,26.6,26.6,,,22.0,31.8,426,Total,,,,,,,,,,"(35.68094058000048, -85.77449091399967)",BF,BF1,Q007,VALUE,47,Total,Total,OVR,OVERALL
2015,2015,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,28.8,28.8,,,24.5,33.4,1024,,,,,,,,,,"No, but eligible",,BF,BF1,Q002,VALUE,59,WIC Participation,"No, but eligible",WIC,WICNO
2005,2005,LA,Louisiana,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,10.1,10.1,,,7.3,13.7,461,Total,,,,,,,,,,"(31.31266064400046, -92.44568007099969)",BF,BF1,Q004,VALUE,22,Total,Total,OVR,OVERALL
2000,2000,SC,South Carolina,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,7.6,7.6,,,3.4,16.5,146,Total,,,,,,,,,,"(33.998821303000454, -81.04537120699968)",BF,BF1,Q004,VALUE,45,Total,Total,OVR,OVERALL
2014,2014,WY,Wyoming,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,52.8,53.0,,,46.2,59.4,277,Total,,,,,,,,,,"(43.23554134300048, -108.10983035299967)",BF,BF1,Q007,VALUE,56,Total,Total,OVR,OVERALL
2009,2009,IL,Illinois,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,73.6,73.6,,,68.8,77.9,885,Total,,,,,,,,,,"(40.48501028300046, -88.99771017799969)",BF,BF1,Q006,VALUE,17,Total,Total,OVR,OVERALL
2005,2005,TN,Tennessee,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,14.3,14.3,,,10.6,19.0,397,Total,,,,,,,,,,"(35.68094058000048, -85.77449091399967)",BF,BF1,Q004,VALUE,47,Total,Total,OVR,OVERALL
2011,2011,WI,Wisconsin,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,21.4,21.4,,,15.8,28.2,211,Total,,,,,,,,,,"(44.39319117400049, -89.81637074199966)",BF,BF1,Q008,VALUE,55,Total,Total,OVR,OVERALL
2013,2013,AZ,Arizona,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,38.9,38.9,,,30.2,48.4,172,Total,,,,,,,,,,"(34.865970280000454, -111.76381127699972)",BF,BF1,Q002,VALUE,04,Total,Total,OVR,OVERALL
2011,2011,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,16.4,16.4,,,13.4,19.9,1414,,,,,,,,,Non-Hispanic Black,,,BF,BF1,Q004,VALUE,59,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2006,2006,TX,Texas,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,46.1,46.1,,,41.8,50.4,1847,Total,,,,,,,,,,"(31.827240407000488, -99.42677020599967)",BF,BF1,Q005,VALUE,48,Total,Total,OVR,OVERALL
2007,2007,IN,Indiana,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,31.5,31.5,,,26.9,36.6,804,Total,,,,,,,,,,"(39.766910452000445, -86.14996019399968)",BF,BF1,Q007,VALUE,18,Total,Total,OVR,OVERALL
2005,2005,ME,Maine,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,12.8,12.8,,,9.2,17.5,307,Total,,,,,,,,,,"(45.254228894000505, -68.98503133599962)",BF,BF1,Q008,VALUE,23,Total,Total,OVR,OVERALL
2004,2004,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,65.7,65.7,,,63.7,67.7,5762,,Less than 100,,,,,,,,,,BF,BF1,Q006,VALUE,59,% Poverty Level,Less than 100,POV,POV0099
2006,2006,TN,Tennessee,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,36.8,36.8,,,28.4,46.0,185,Total,,,,,,,,,,"(35.68094058000048, -85.77449091399967)",BF,BF1,Q002,VALUE,47,Total,Total,OVR,OVERALL
2016,2016,OR,Oregon,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,10.5,10.5,,,6.0,17.9,163,Total,,,,,,,,,,"(44.56744942400047, -120.15503132599969)",BF,BF1,Q003,VALUE,41,Total,Total,OVR,OVERALL
2003,2003,NH,New Hampshire,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,76.6,76.6,,,71.0,81.4,364,Total,,,,,,,,,,"(43.65595011300047, -71.50036091999965)",BF,BF1,Q006,VALUE,33,Total,Total,OVR,OVERALL
2009,2009,OK,Oklahoma,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,70.1,70.1,,,63.8,75.7,380,Total,,,,,,,,,,"(35.47203135600046, -97.52107021399968)",BF,BF1,Q006,VALUE,40,Total,Total,OVR,OVERALL
2008,2008,NE,Nebraska,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,37.8,37.8,,,29.7,46.7,183,Total,,,,,,,,,,"(41.6410409880005, -99.36572062299967)",BF,BF1,Q002,VALUE,31,Total,Total,OVR,OVERALL
2016,2016,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,51.6,51.6,,,44.4,58.8,685,,,,,,,,,Asian,,,BF,BF1,Q004,VALUE,59,Race/Ethnicity,Asian,RACE,RACEASN
2014,2014,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,24.5,24.0,,,22.9,26.1,9929,,,,Not first born,,,,,,,,BF,BF1,Q008,VALUE,59,Birth Order,Not first born,BO,BONOT1
2004,2004,TN,Tennessee,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,32.1,32.1,,,27.6,36.9,825,Total,,,,,,,,,,"(35.68094058000048, -85.77449091399967)",BF,BF1,Q005,VALUE,47,Total,Total,OVR,OVERALL
2016,2016,NC,North Carolina,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,14.8,14.8,,,10.7,20.2,318,Total,,,,,,,,,,"(35.466220975000454, -79.15925046299964)",BF,BF1,Q003,VALUE,37,Total,Total,OVR,OVERALL
2004,2004,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,52.4,52.4,,,45.0,59.8,520,,,,,,,,,Asian,,,BF,BF1,Q002,VALUE,59,Race/Ethnicity,Asian,RACE,RACEASN
2012,2012,MI,Michigan,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,38.0,38.0,,,27.4,49.9,108,Total,,,,,,,,,,"(44.6613195430005, -84.71439026999968)",BF,BF1,Q002,VALUE,26,Total,Total,OVR,OVERALL
2013,2013,WY,Wyoming,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,37.1,37.1,,,30.2,44.5,242,Total,,,,,,,,,,"(43.23554134300048, -108.10983035299967)",BF,BF1,Q004,VALUE,56,Total,Total,OVR,OVERALL
2008,2008,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,16.8,16.8,,,15.3,18.4,6804,,200 - 399,,,,,,,,,,BF,BF1,Q008,VALUE,59,% Poverty Level,200 - 399,POV,POV200399
2002,2002,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,22.9,22.9,,,20.4,25.5,3672,,,,,,,,,Non-Hispanic Black,,,BF,BF1,Q005,VALUE,59,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2003,2003,SC,South Carolina,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,30.2,30.2,,,25.6,35.3,451,Total,,,,,,,,,,"(33.998821303000454, -81.04537120699968)",BF,BF1,Q005,VALUE,45,Total,Total,OVR,OVERALL
2013,2013,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,12.5,12.5,,,11.3,13.8,7187,,,,,,,,,,Ineligible,,BF,BF1,Q003,VALUE,59,WIC Participation,Ineligible,WIC,WICINELG
2013,2013,KS,Kansas,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,15.9,15.9,,,11.1,22.2,205,Total,,,,,,,,,,"(38.34774030000045, -98.20078122699965)",BF,BF1,Q003,VALUE,20,Total,Total,OVR,OVERALL
2015,2015,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,91.0,91.0,,,89.0,92.6,2780,,400 - 599,,,,,,,,,,BF,BF1,Q006,VALUE,59,% Poverty Level,400 - 599,POV,POV400599
2016,2016,GA,Georgia,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,32.2,32.2,,,25.3,40.0,244,Total,,,,,,,,,,"(32.83968109300048, -83.62758034599966)",BF,BF1,Q002,VALUE,13,Total,Total,OVR,OVERALL
2011,2011,CA,California,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,92.8,92.8,,,87.6,95.9,321,Total,,,,,,,,,,"(37.63864012300047, -120.99999953799971)",BF,BF1,Q006,VALUE,06,Total,Total,OVR,OVERALL
2010,2010,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,19.4,19.4,,,17.6,21.3,6299,,,,,College graduate,,,,,,,BF,BF1,Q003,VALUE,59,Education,College graduate,EDU,EDUCOGRAD
2010,2010,WA,Washington,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,61.5,61.5,,,53.7,68.7,239,Total,,,,,,,,,,"(47.52227862900048, -120.47001078999972)",BF,BF1,Q005,VALUE,53,Total,Total,OVR,OVERALL
2012,2012,WA,Washington,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,26.1,26.1,,,18.1,36.1,174,Total,,,,,,,,,,"(47.52227862900048, -120.47001078999972)",BF,BF1,Q001,VALUE,53,Total,Total,OVR,OVERALL
2014,2014,OK,Oklahoma,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,24.8,25.0,,,18.2,32.9,170,Total,,,,,,,,,,"(35.47203135600046, -97.52107021399968)",BF,BF1,Q001,VALUE,40,Total,Total,OVR,OVERALL
2013,2013,NE,Nebraska,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,41.5,41.5,,,34.5,48.9,228,Total,,,,,,,,,,"(41.6410409880005, -99.36572062299967)",BF,BF1,Q007,VALUE,31,Total,Total,OVR,OVERALL
2016,2016,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,23.4,23.4,,,19.2,28.2,1023,,,,,,,,,,"No, but eligible",,BF,BF1,Q002,VALUE,59,WIC Participation,"No, but eligible",WIC,WICNO
2013,2013,MN,Minnesota,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,31.4,31.4,,,25.5,38.1,303,Total,,,,,,,,,,"(46.35564873600049, -94.79420050299967)",BF,BF1,Q008,VALUE,27,Total,Total,OVR,OVERALL
2007,2007,WV,West Virginia,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,23.6,23.6,,,17.7,30.7,222,Total,,,,,,,,,,"(38.66551020200046, -80.71264013499967)",BF,BF1,Q003,VALUE,54,Total,Total,OVR,OVERALL
2009,2009,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,30.1,30.1,,,24.5,36.4,779,,,,,,,,,Asian,,,BF,BF1,Q003,VALUE,59,Race/Ethnicity,Asian,RACE,RACEASN
2004,2004,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,14.9,14.9,,,11.6,19.0,943,,,,,,,,,Asian,,,BF,BF1,Q008,VALUE,59,Race/Ethnicity,Asian,RACE,RACEASN
2011,2011,OK,Oklahoma,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,35.5,35.5,,,29.3,42.3,295,Total,,,,,,,,,,"(35.47203135600046, -97.52107021399968)",BF,BF1,Q007,VALUE,40,Total,Total,OVR,OVERALL
2007,2007,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,10.6,10.6,,,9.1,12.3,5276,,Less than 100,,,,,,,,,,BF,BF1,Q008,VALUE,59,% Poverty Level,Less than 100,POV,POV0099
2002,2002,MO,Missouri,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,66.9,66.9,,,60.1,73.1,402,Total,,,,,,,,,,"(38.635790776000476, -92.56630005299968)",BF,BF1,Q006,VALUE,29,Total,Total,OVR,OVERALL
2010,2010,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,58.5,58.5,,,56.9,60.2,11411,,,,,,,Married,,,,,BF,BF1,Q005,VALUE,59,Marital Status,Married,MARSTAT,MARRIED
2012,2012,WY,Wyoming,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,54.7,54.7,,,45.8,63.3,219,Total,,,,,,,,,,"(43.23554134300048, -108.10983035299967)",BF,BF1,Q007,VALUE,56,Total,Total,OVR,OVERALL
2006,2006,MT,Montana,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,42.3,42.3,,,36.3,48.7,335,Total,,,,,,,,,,"(47.06652897200047, -109.42442064499971)",BF,BF1,Q007,VALUE,30,Total,Total,OVR,OVERALL
2005,2005,FL,Florida,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,20.6,20.6,,,16.1,25.9,852,Total,,,,,,,,,,"(28.932040377000476, -81.92896053899966)",BF,BF1,Q004,VALUE,12,Total,Total,OVR,OVERALL
2014,2014,ID,Idaho,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,27.9,28.0,,,20.2,37.3,150,Total,,,,,,,,,,"(43.682630005000476, -114.3637300419997)",BF,BF1,Q002,VALUE,16,Total,Total,OVR,OVERALL
2010,2010,NM,New Mexico,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,21.1,21.1,,,14.9,28.9,228,Total,,,,,,,,,,"(34.52088095200048, -106.24058098499967)",BF,BF1,Q003,VALUE,35,Total,Total,OVR,OVERALL
2008,2008,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,38.7,38.7,,,32.9,44.9,854,,,,,,,,,Asian,,,BF,BF1,Q004,VALUE,59,Race/Ethnicity,Asian,RACE,RACEASN
2016,2016,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,33.2,33.2,,,31.2,35.2,8596,,,,,,,Married,,,,,BF,BF1,Q002,VALUE,59,Marital Status,Married,MARSTAT,MARRIED
2014,2014,AL,Alabama,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,27.3,27.0,,,19.3,37.1,159,Total,,,,,,,,,,"(32.84057112200048, -86.63186076199969)",BF,BF1,Q001,VALUE,01,Total,Total,OVR,OVERALL
2016,2016,OH,Ohio,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,82.8,82.8,,,77.2,87.3,343,Total,,,,,,,,,,"(40.06021014100048, -82.40426005599966)",BF,BF1,Q006,VALUE,39,Total,Total,OVR,OVERALL
2004,2004,CO,Colorado,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,46.0,46.0,,,39.0,53.2,366,Total,,,,,,,,,,"(38.843840757000464, -106.13361092099967)",BF,BF1,Q005,VALUE,08,Total,Total,OVR,OVERALL
2007,2007,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,62.2,62.2,,,53.2,70.4,343,,,,,,,,,American Indian/Alaska Native,,,BF,BF1,Q006,VALUE,59,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2016,2016,DE,Delaware,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,20.7,20.7,,,15.2,27.6,225,Total,,,,,,,,,,"(39.008830667000495, -75.57774116799965)",BF,BF1,Q003,VALUE,10,Total,Total,OVR,OVERALL
2009,2009,MO,Missouri,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,16.4,16.4,,,11.8,22.2,342,Total,,,,,,,,,,"(38.635790776000476, -92.56630005299968)",BF,BF1,Q003,VALUE,29,Total,Total,OVR,OVERALL
2008,2008,ID,Idaho,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,34.5,34.5,,,27.8,41.9,228,Total,,,,,,,,,,"(43.682630005000476, -114.3637300419997)",BF,BF1,Q002,VALUE,16,Total,Total,OVR,OVERALL
2010,2010,MO,Missouri,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,19.7,19.7,,,13.5,27.8,192,Total,,,,,,,,,,"(38.635790776000476, -92.56630005299968)",BF,BF1,Q003,VALUE,29,Total,Total,OVR,OVERALL
2006,2006,IA,Iowa,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,35.5,35.5,,,30.4,41.0,362,Total,,,,,,,,,,"(42.46940091300047, -93.81649055599968)",BF,BF1,Q005,VALUE,19,Total,Total,OVR,OVERALL
2009,2009,OH,Ohio,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,38.0,38.0,,,29.1,47.9,167,Total,,,,,,,,,,"(40.06021014100048, -82.40426005599966)",BF,BF1,Q002,VALUE,39,Total,Total,OVR,OVERALL
2012,2012,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,28.9,28.9,,,24.3,33.9,1542,,600 or greater,,,,,,,,,,BF,BF1,Q001,VALUE,59,% Poverty Level,600 or greater,POV,POV600PLUS
2016,2016,NM,New Mexico,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,20.2,20.2,,,14.9,26.8,255,Total,,,,,,,,,,"(34.52088095200048, -106.24058098499967)",BF,BF1,Q001,VALUE,35,Total,Total,OVR,OVERALL
2006,2006,AR,Arkansas,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,40.7,40.7,,,32.5,49.5,225,Total,,,,,,,,,,"(34.74865012400045, -92.27449074299966)",BF,BF1,Q001,VALUE,05,Total,Total,OVR,OVERALL
2013,2013,WV,West Virginia,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,14.1,14.1,,,10.0,19.4,287,Total,,,,,,,,,,"(38.66551020200046, -80.71264013499967)",BF,BF1,Q008,VALUE,54,Total,Total,OVR,OVERALL
2006,2006,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,76.7,76.7,,,74.9,78.4,7174,,200 - 399,,,,,,,,,,BF,BF1,Q006,VALUE,59,% Poverty Level,200 - 399,POV,POV200399
2011,2011,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,27.9,27.9,,,22.7,33.8,596,,,,,,,,,,"No, but eligible",,BF,BF1,Q002,VALUE,59,WIC Participation,"No, but eligible",WIC,WICNO
2012,2012,SC,South Carolina,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,26.0,26.0,,,17.6,36.6,140,Total,,,,,,,,,,"(33.998821303000454, -81.04537120699968)",BF,BF1,Q001,VALUE,45,Total,Total,OVR,OVERALL
2016,2016,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,24.3,24.3,,,22.4,26.2,7344,,,,,,,,,Non-Hispanic White,,,BF,BF1,Q001,VALUE,59,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2013,2013,SD,South Dakota,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,26.2,26.2,,,19.0,35.0,171,Total,,,,,,,,,,"(44.353130053000484, -100.3735306369997)",BF,BF1,Q001,VALUE,46,Total,Total,OVR,OVERALL
2016,2016,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,33.0,33.0,,,31.0,35.0,8534,,,,,,,,,,Ineligible,,BF,BF1,Q008,VALUE,59,WIC Participation,Ineligible,WIC,WICINELG
2005,2005,SC,South Carolina,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,24.4,24.4,,,19.4,30.3,337,Total,,,,,,,,,,"(33.998821303000454, -81.04537120699968)",BF,BF1,Q003,VALUE,45,Total,Total,OVR,OVERALL
2004,2004,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,24.1,24.1,,,21.9,26.4,3832,,100 - 199,,,,,,,,,,BF,BF1,Q003,VALUE,59,% Poverty Level,100 - 199,POV,POV100199
2015,2015,WA,Washington,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,12.7,12.7,,,8.4,18.8,289,Total,,,,,,,,,,"(47.52227862900048, -120.47001078999972)",BF,BF1,Q003,VALUE,53,Total,Total,OVR,OVERALL
2004,2004,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,11.6,11.6,,,10.8,12.6,12887,,,,Not first born,,,,,,,,BF,BF1,Q008,VALUE,59,Birth Order,Not first born,BO,BONOT1
2011,2011,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,66.9,66.9,,,55.6,76.6,201,,,Under 20,,,,,,,,,BF,BF1,Q006,VALUE,59,Age (years),Under 20,AGEYR,AGEYR0019
2014,2014,IL,Illinois,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,34.8,35.0,,,29.3,40.8,350,Total,,,,,,,,,,"(40.48501028300046, -88.99771017799969)",BF,BF1,Q002,VALUE,17,Total,Total,OVR,OVERALL
2015,2015,ND,North Dakota,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,10.8,10.8,,,6.9,16.4,192,Total,,,,,,,,,,"(47.47531977900047, -100.11842104899966)",BF,BF1,Q003,VALUE,38,Total,Total,OVR,OVERALL
